#
#01241 ENOL Orland Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
 1016.0     10    8.0    6.9     93   6.18    205      2  279.9  296.9  280.9
 1009.0     67    8.8    6.8     87   6.18    222      4  281.2  298.4  282.3
 1000.0    141    8.4    6.4     87   6.06    245      8  281.6  298.4  282.6
  925.0    779    3.4    1.2     86   4.53    175      4  282.8  295.6  283.6
  860.0   1366   -1.7   -1.8     99   3.91     54      2  283.4  294.6  284.1
  850.0   1459   -1.9   -2.0     99   3.90     35      2  284.1  295.4  284.8
  785.0   2088   -5.1   -9.3     72   2.42     37      4  287.2  294.5  287.7
  778.0   2159   -5.5   -7.3     87   2.85     37      4  287.6  296.0  288.1
  767.0   2270   -6.5  -13.5     58   1.77     38      4  287.6  293.1  287.9
  730.0   2656   -8.1  -18.1     44   1.27     39      5  290.0  294.0  290.2
  700.0   2980  -10.5  -18.5     52   1.28     40      6  290.8  294.9  291.1
  693.0   3057  -11.1  -20.1     47   1.12     40      6  291.0  294.6  291.2
  687.0   3124  -11.3  -16.0     68   1.61     40      7  291.5  296.5  291.8
  654.0   3500  -12.5  -24.1     37   0.83     40     10  294.2  297.0  294.4
  634.0   3738  -13.3  -29.3     25   0.54     26     12  296.0  297.8  296.1
  626.0   3834  -13.9  -28.7     28   0.58     20     14  296.4  298.3  296.5
  608.0   4056  -15.3  -27.3     35   0.67     19     15  297.2  299.5  297.4
  595.0   4219  -15.9  -30.9     26   0.49     19     16  298.4  300.1  298.5
  506.0   5423  -23.1  -52.1      5   0.06     15     23  303.8  304.0  303.8
  500.0   5510  -23.7  -44.7     13   0.14     15     23  304.1  304.6  304.1
  480.0   5807  -25.7  -38.7     29   0.28     14     25  305.2  306.2  305.2
  465.0   6036  -27.1  -42.1     23   0.20     13     26  306.2  307.0  306.3
  400.0   7100  -35.7  -43.7     44   0.20     10     33  308.5  309.3  308.6
  389.0   7294  -37.3  -44.3     48   0.19      9     34  308.9  309.6  308.9
  340.0   8211  -44.5  -51.5     45   0.10      4     39  311.2  311.6  311.2
  300.0   9040  -50.7  -56.7     49   0.06      0     43  313.8  314.0  313.8
  289.0   9282  -52.9  -57.9     54   0.05    358     43  314.0  314.2  314.0
  270.0   9719  -55.1  -62.1     41   0.03    355     45  317.0  317.1  317.0
  254.0  10109  -55.3  -65.4     27   0.02    355     49  322.3  322.4  322.3
  250.0  10210  -55.3  -66.3     24   0.02    350     47  323.7  323.8  323.7
  234.0  10630  -54.9  -74.9      7   0.01    349     43  330.5  330.5  330.5
  200.0  11630  -53.5  -81.5      2   0.00    345     33  347.9  347.9  347.9
  177.0  12419  -52.1  -86.5      1   0.00    340     27  362.5  362.5  362.5
  165.0  12873  -51.3  -89.3      0   0.00    349     27  371.2  371.2  371.2
  163.0  12952  -51.5  -89.3      0   0.00    350     27  372.2  372.2  372.2
  157.0  13195  -52.0  -89.5      0   0.00    330     23  375.3  375.3  375.3
  150.0  13490  -52.7  -89.7      0   0.00    330     23  379.1  379.1  379.1
  144.0  13753  -53.0  -89.9      0   0.00    335     21  382.9  382.9  382.9
  137.0  14074  -53.5  -90.2      0   0.00    345     27  387.7  387.7  387.7
  132.0  14313  -53.8  -90.4      0   0.00    355     17  391.3  391.3  391.3
  129.0  14461  -54.0  -90.5      0   0.00    340     12  393.5  393.5  393.5
  126.0  14612  -54.1  -90.6      0   0.00    310     16  395.8  395.8  395.8
  120.0  14927  -54.5  -90.9      0   0.00    330     25  400.6  400.6  400.6
  118.0  15035  -54.7  -91.0      0   0.00    340     23  402.3  402.3  402.3
  115.0  15200  -54.9  -91.1      0   0.00    330     23  404.9  404.9  404.9
  111.0  15428  -55.2  -91.3      0   0.00    350     21  408.4  408.4  408.4
  107.0  15665  -55.5  -91.5      0   0.00    341     20  412.2  412.2  412.2
  100.0  16100  -52.9  -89.9      0   0.00    325     17  425.2  425.2  425.2
   95.0  16427  -54.0  -90.7      0   0.00    325     12  429.5  429.5  429.5
   89.0  16844  -55.3  -91.7      0   0.00    315     27  434.9  434.9  434.9
   86.0  17063  -56.0  -92.3      0   0.00    310     19  437.8  437.8  437.8
   83.0  17289  -56.7  -92.8      0   0.00    330     17  440.8  440.8  440.8
   81.0  17445  -57.2  -93.2      0   0.00    310     19  442.8  442.8  442.8
   80.6  17477  -57.3  -93.3      0   0.00    310     19  443.2  443.2  443.2
   76.0  17849  -56.8  -92.8      0   0.00    330     19  451.8  451.8  451.8
   74.0  18018  -56.6  -92.6      0   0.00    320     16  455.7  455.7  455.7
   70.0  18370  -56.1  -92.1      0   0.00    310     19  464.0  464.0  464.0
   69.3  18434  -55.7  -91.7      0   0.00    308     19  466.2  466.2  466.2
   68.0  18554  -56.2  -92.0      0   0.00    305     19  467.6  467.6  467.6
   63.0  19036  -58.4  -93.4      0   0.00    335     23  473.1  473.1  473.1
   62.8  19056  -58.5  -93.5      0   0.00    335     23  473.3  473.4  473.3
   59.0  19451  -57.2  -92.6      0   0.00    335     23  484.7  484.8  484.8
   55.0  19895  -55.8  -91.7      0   0.00    330     19  497.9  497.9  497.9
   54.3  19976  -55.5  -91.5      0   0.00    340     18  500.3  500.3  500.3
   53.0  20130  -55.9  -91.8      0   0.00      0     16  503.0  503.0  503.0
   50.0  20500  -56.7  -92.7      0   0.00    345     10  509.4  509.4  509.4
   45.0  21161  -58.2  -93.4      0   0.00      0      0  521.4  521.4  521.4
   40.0  21901  -59.8  -94.3      0   0.00    335     10  535.1  535.1  535.1
   39.0  22060  -60.2  -94.4      0   0.00    345     10  538.1  538.1  538.1
   38.0  22223  -60.5  -94.6      0   0.00    305     10  541.2  541.2  541.2
   37.6  22289  -60.7  -94.7      0   0.00    299     12  542.4  542.4  542.4
   36.0  22561  -59.4  -94.2      0   0.00    275     21  552.5  552.5  552.5
#   35.6  22630  -59.1  -94.1      0   0.00                555.1  555.1  555.1
