#
#01400  Ekofisk Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
 1010.0     29   10.6    6.5     76   6.04    220      6  282.9  299.9  284.0
 1009.0     41   10.6   -4.4     35   2.75    221      6  283.0  291.1  283.5
 1004.0    104   10.4    5.9     74   5.83    229      6  283.2  299.6  284.2
 1000.0    154   10.0    6.6     79   6.15    235      6  283.1  300.4  284.2
  947.0    604    6.0    5.9     99   6.18    281      9  283.5  300.9  284.6
  937.0    690    5.7    5.3     97   6.00    290     10  284.1  301.0  285.1
  925.0    796    5.4    4.6     95   5.78    290     14  284.8  301.2  285.8
  887.0   1138    3.6    3.6    100   5.62    302     13  286.4  302.4  287.4
  850.0   1484    1.8    1.2     96   4.93    315     12  288.0  302.3  288.9
  845.0   1531    1.5    0.9     96   4.87    315     12  288.2  302.3  289.1
  830.0   1675    0.7    0.1     96   4.67    295     12  288.9  302.5  289.7
  782.0   2152   -1.9   -2.6     95   4.06    289     10  291.0  303.0  291.7
  774.0   2234   -1.7   -5.5     75   3.29    288     10  292.1  302.0  292.6
  769.0   2285   -0.9  -18.9     24   1.12    287     10  293.5  297.1  293.7
  765.0   2327   -0.9  -13.9     37   1.72    287     10  293.9  299.3  294.2
  753.0   2453   -1.3  -19.4     24   1.10    285     10  294.8  298.4  295.0
  730.0   2699   -2.1  -30.1     10   0.43    296     11  296.6  298.0  296.6
  711.0   2908   -3.4  -22.6     21   0.88    305     12  297.4  300.3  297.6
  700.0   3031   -4.1  -18.1     33   1.32    305     12  297.9  302.2  298.1
  692.0   3122   -4.7  -11.7     58   2.27    306     13  298.2  305.4  298.6
  679.0   3271   -4.9  -21.9     25   0.98    309     15  299.6  302.9  299.8
  656.0   3541   -6.9   -9.9     79   2.76    313     18  300.3  309.0  300.8
  649.0   3625   -7.1  -14.1     57   1.99    314     19  301.0  307.4  301.4
  627.0   3894   -8.1  -14.1     62   2.06    318     22  302.9  309.5  303.2
  618.0   4007   -7.8  -24.4     25   0.86    320     23  304.5  307.4  304.6
  616.0   4032   -7.7  -26.7     20   0.70    319     24  304.9  307.3  305.0
  606.0   4159   -8.7  -19.7     41   1.33    316     26  305.1  309.6  305.4
  597.0   4275   -9.3  -28.3     20   0.63    313     28  305.8  307.9  305.9
  590.0   4365  -10.0  -27.9     22   0.66    310     29  305.9  308.2  306.1
  503.0   5576  -19.7  -22.0     82   1.31    310     24  308.4  312.9  308.7
  500.0   5620  -19.7  -23.0     75   1.21    310     23  309.0  313.1  309.2
  488.0   5799  -20.8  -23.4     80   1.20    305     23  309.8  313.9  310.0
  464.0   6169  -23.1  -24.1     91   1.18    308     28  311.4  315.5  311.6
  402.0   7204  -28.9  -31.1     81   0.71    315     41  316.9  319.5  317.0
  400.0   7240  -29.1  -31.2     82   0.71    315     41  317.1  319.7  317.2
  305.0   9119  -44.5  -49.4     58   0.14    310     50  321.0  321.6  321.0
  300.0   9230  -45.3  -50.1     58   0.13    310     51  321.4  321.9  321.4
  273.0   9847  -50.8  -55.5     57   0.08    310     49  322.3  322.6  322.3
  255.0  10293  -54.7  -59.5     55   0.05    306     56  322.8  323.0  322.8
  250.0  10420  -55.7  -60.3     56   0.05    305     58  323.1  323.3  323.1
  227.0  11030  -59.7  -62.1     73   0.04    295     68  326.1  326.2  326.1
  226.0  11057  -59.6  -62.2     72   0.04    295     68  326.5  326.7  326.6
  223.0  11141  -59.5  -62.7     66   0.04    300     65  328.0  328.2  328.0
  218.0  11284  -57.3  -70.3     18   0.01    308     61  333.6  333.6  333.6
  217.0  11313  -57.3  -70.4     17   0.01    310     60  334.0  334.1  334.0
  200.0  11830  -56.9  -71.9     13   0.01    310     45  342.5  342.6  342.5
  196.0  11958  -56.6  -73.0     11   0.01    310     41  344.9  345.0  344.9
  186.0  12290  -55.9  -75.9      6   0.01    305     54  351.3  351.3  351.3
  173.0  12748  -54.9  -79.9      3   0.00    325     47  360.3  360.3  360.3
  166.0  13010  -56.9  -81.1      3   0.00    320     39  361.2  361.2  361.2
  164.0  13086  -57.5  -81.5      3   0.00    318     40  361.5  361.5  361.5
  158.0  13322  -56.5  -83.0      2   0.00    310     43  367.0  367.0  367.0
  152.0  13566  -55.5  -84.5      2   0.00    325     41  372.8  372.9  372.8
  150.0  13650  -55.5  -84.5      2   0.00    320     37  374.2  374.3  374.2
  135.0  14319  -57.0  -85.3      2   0.00    325     31  383.1  383.1  383.1
  128.0  14656  -57.7  -85.7      2   0.00    310     33  387.6  387.6  387.6
  114.0  15390  -57.0  -86.5      1   0.00    325     23  401.9  401.9  401.9
  109.0  15674  -56.8  -86.7      1   0.00    300     25  407.6  407.6  407.6
  104.0  15972  -56.5  -87.0      1   0.00    325     27  413.6  413.6  413.6
