#
#02185  Lulea-Kallax Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
 1015.0     34    5.8    3.6     86   4.90    340      4  277.8  291.3  278.6
 1000.0    140    5.4    2.5     82   4.60     25     12  278.6  291.4  279.3
  993.0    197    5.3    1.4     76   4.29     40     14  279.0  291.1  279.8
  979.0    314    5.2   -0.8     65   3.70     51     16  280.0  290.5  280.7
  974.0    355    4.8   -0.8     67   3.72     55     17  280.1  290.6  280.7
  925.0    774    1.2   -1.0     85   3.86     65     14  280.5  291.5  281.2
  865.0   1309   -3.0   -3.5     96   3.42     75     10  281.6  291.4  282.2
  850.0   1448   -4.1   -4.2     99   3.31     65     11  281.8  291.4  282.4
  835.0   1588   -5.1   -5.5     97   3.05     58     11  282.2  291.1  282.7
  830.0   1636   -3.5   -6.8     78   2.78     55     11  284.4  292.6  284.9
  765.0   2275   -6.7  -14.3     55   1.66     75     10  287.7  292.8  288.0
  745.0   2483   -7.7  -16.7     48   1.40     74     10  288.7  293.1  289.0
  700.0   2964  -11.3  -20.3     47   1.09     70      9  289.9  293.4  290.1
  660.0   3412  -14.1  -29.1     27   0.53     66      8  291.7  293.5  291.8
  596.0   4177  -19.9  -30.9     37   0.49     60      5  293.6  295.3  293.7
  519.0   5191  -25.3  -47.3     11   0.10     51      2  298.9  299.3  298.9
  509.0   5331  -26.4  -46.4     14   0.12     50      2  299.2  299.6  299.2
  500.0   5460  -27.5  -45.5     16   0.13     30      4  299.4  299.9  299.5
  492.0   5576  -28.1  -48.1     13   0.10     31      4  300.1  300.5  300.1
  490.0   5605  -27.9  -46.9     15   0.11     31      4  300.7  301.1  300.7
  400.0   7030  -39.3  -47.3     42   0.13     40      7  303.8  304.3  303.9
  343.0   8064  -46.7  -52.9     49   0.08     45     10  307.4  307.7  307.4
  339.0   8142  -47.3  -53.3     50   0.08     45     10  307.6  308.0  307.7
  314.0   8644  -50.9  -55.9     55   0.06     45     11  309.4  309.7  309.4
  302.0   8897  -52.1  -58.8     44   0.05     45     12  311.2  311.4  311.2
  300.0   8940  -52.3  -59.3     43   0.04     45     12  311.5  311.7  311.5
  285.0   9271  -53.7  -60.7     42   0.04     56     11  314.1  314.3  314.1
  280.0   9384  -54.0  -61.4     40   0.04     60     10  315.3  315.4  315.3
  260.0   9859  -55.3  -64.3     32   0.03     30      7  320.1  320.2  320.1
  250.0  10110  -54.9  -67.9     18   0.02     30      8  324.3  324.4  324.3
  243.0  10293  -53.8  -70.2     12   0.01      0     12  328.6  328.6  328.6
  238.0  10426  -53.0  -71.9      8   0.01     10     10  331.7  331.8  331.7
  226.0  10759  -51.1  -76.1      4   0.01      7      8  339.6  339.6  339.6
  200.0  11550  -51.5  -79.5      2   0.00      0      4  351.1  351.1  351.1
  183.0  12128  -51.0  -80.9      2   0.00    340     10  360.9  360.9  360.9
  178.0  12308  -50.9  -81.4      2   0.00    320     11  364.0  364.0  364.0
  173.0  12493  -50.7  -81.8      1   0.00    335     14  367.2  367.2  367.2
  170.0  12607  -50.6  -82.1      1   0.00    355     11  369.2  369.2  369.2
  166.0  12762  -50.5  -82.5      1   0.00    335      4  371.9  371.9  371.9
  164.0  12840  -50.7  -82.6      1   0.00    325      1  372.9  372.9  372.9
  157.0  13124  -51.4  -82.8      1   0.00    315     10  376.4  376.4  376.4
  154.0  13249  -51.7  -82.9      1   0.00    330     12  378.0  378.0  378.0
  150.0  13420  -52.1  -83.1      1   0.00    330     12  380.1  380.1  380.1
  148.0  13506  -52.2  -83.2      1   0.00    335     10  381.4  381.4  381.4
  136.0  14051  -52.8  -84.0      1   0.00    310     10  389.7  389.7  389.7
  128.0  14441  -53.2  -84.6      1   0.00    340     10  395.8  395.8  395.8
  119.0  14910  -53.7  -85.3      1   0.00    300     10  403.1  403.2  403.1
  105.0  15716  -54.6  -86.4      1   0.00    310     10  416.2  416.2  416.2
  103.0  15840  -54.7  -86.6      1   0.00    325     13  418.2  418.2  418.2
  100.0  16030  -54.9  -86.9      1   0.00    335     11  421.4  421.4  421.4
   70.0  18310  -55.3  -87.3      1   0.00    330     12  465.7  465.8  465.7
   50.0  20440  -57.9  -88.9      1   0.00    320     10  506.6  506.6  506.6
