#02527  Goteborg Observations at 00Z 09 Oct 2017
#
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
# 1000.0    106                                                               
  993.0    164    4.2    1.1     80   4.19    350      3  277.9  289.6  278.6
  989.0    197    6.0    1.4     72   4.30      6      9  280.0  292.1  280.8
  988.0    205    6.0    1.3     72   4.29     10     10  280.1  292.1  280.8
  957.0    465    4.8   -0.5     69   3.88     10     29  281.5  292.5  282.1
  925.0    742    3.6   -2.4     65   3.48      0     27  283.0  293.0  283.6
  881.0   1137    2.4   -7.6     48   2.46    345     29  285.7  293.0  286.1
  850.0   1425   -0.3   -9.3     51   2.23    340     31  285.8  292.5  286.2
  817.0   1740   -2.9   -9.9     59   2.22    342     31  286.3  293.0  286.7
  809.0   1818   -2.1  -12.1     46   1.88    343     31  288.0  293.7  288.3
  700.0   2952   -9.7  -24.7     28   0.74    350     31  291.7  294.1  291.8
  668.0   3310  -12.5  -27.5     27   0.60    350     29  292.5  294.5  292.6
  648.0   3542  -14.3  -29.3     27   0.53    350     31  293.0  294.8  293.1
  604.0   4072  -16.5  -35.5     18   0.31    350     35  296.4  297.5  296.5
  560.0   4637  -19.1  -45.1      8   0.12    350     39  299.8  300.3  299.9
  551.0   4758  -19.9  -38.9     17   0.24    350     40  300.3  301.1  300.3
  500.0   5470  -25.1  -41.1     21   0.21    350     46  302.4  303.1  302.4
  429.0   6563  -34.5  -42.5     44   0.21    343     51  303.9  304.7  304.0
  426.0   6612  -34.5  -46.5     29   0.14    343     51  304.5  305.1  304.6
  414.0   6812  -36.1  -45.1     39   0.17    342     52  305.0  305.6  305.0
  400.0   7050  -37.7  -46.7     38   0.14    340     53  305.9  306.5  305.9
  355.0   7862  -43.1  -55.1     25   0.06    338     58  309.3  309.5  309.3
  339.0   8171  -44.5  -63.5     10   0.02    337     59  311.5  311.6  311.5
  311.0   8743  -47.7  -60.7     21   0.03    336     63  314.8  314.9  314.8
  300.0   8980  -48.1  -63.1     16   0.03    335     64  317.4  317.6  317.4
  283.0   9365  -50.3  -63.3     20   0.03    335     64  319.6  319.8  319.6
  263.0   9847  -50.5  -70.0      8   0.01    340     69  326.1  326.1  326.1
  250.0  10180  -50.7  -74.7      4   0.01    340     63  330.6  330.6  330.6
  207.0  11415  -48.8  -81.3      1   0.00    345     50  351.8  351.8  351.8
  200.0  11640  -48.5  -82.5      1   0.00    340     45  355.8  355.8  355.8
  198.0  11706  -47.9  -81.9      1   0.00    338     46  357.8  357.8  357.8
  192.0  11907  -48.2  -82.3      1   0.00    330     47  360.4  360.4  360.4
  177.0  12439  -49.1  -83.5      1   0.00    340     39  367.4  367.4  367.4
  150.0  13520  -50.9  -85.9      1   0.00    340     26  382.2  382.2  382.2
  142.0  13875  -52.3  -85.9      1   0.00    335     30  385.8  385.8  385.8
  134.0  14251  -53.7  -85.9      1   0.00    345     29  389.7  389.7  389.7
  133.0  14299  -53.9  -85.9      1   0.00    345     28  390.2  390.2  390.2
  132.0  14348  -53.9  -86.0      1   0.00    330     26  391.0  391.0  391.0
  129.0  14495  -54.0  -86.2      1   0.00    315     28  393.4  393.4  393.4
  124.0  14749  -54.1  -86.6      1   0.00    325     36  397.6  397.6  397.6
  113.0  15345  -54.5  -87.6      1   0.00    335     24  407.7  407.7  407.7
  110.0  15518  -54.6  -87.9      1   0.00    355     19  410.7  410.7  410.7
  106.0  15756  -54.7  -88.3      1   0.00    345     16  414.8  414.8  414.8
  103.0  15940  -54.8  -88.6      1   0.00    315     19  418.0  418.0  418.0
  100.0  16130  -54.9  -88.9      1   0.00    315     24  421.4  421.4  421.4
   93.0  16597  -53.5  -89.1      1   0.00    340     19  433.0  433.0  433.0
   91.3  16716  -53.1  -89.1      1   0.00    329     20  436.0  436.1  436.0
   87.0  17024  -54.2  -89.7      1   0.00    300     21  439.8  439.8  439.8
   83.0  17324  -55.3  -90.2      1   0.00    290     20  443.6  443.6  443.6
   74.0  18056  -58.0  -91.5      1   0.00    345     24  452.7  452.7  452.7
   70.6  18356  -59.1  -92.1      1   0.00    353     22  456.5  456.5  456.5
   70.0  18410  -59.1  -92.1      1   0.00    355     22  457.6  457.6  457.6
   67.0  18685  -58.8  -92.0      1   0.00    330     14  464.1  464.1  464.1
   65.0  18876  -58.5  -91.9      1   0.00    335     17  468.7  468.7  468.7
   63.0  19072  -58.3  -91.9      1   0.00    315     14  473.4  473.4  473.4
   59.0  19485  -57.8  -91.7      1   0.00    330     19  483.5  483.5  483.5
#   58.5  19538  -57.7  -91.7      1   0.00                484.8  484.8  484.8
