#
#02591 ESQV Visby Aerologiska Stn Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
# 1000.0    -11                                                               
  993.0     47    9.2    9.0     99   7.30    330     21  282.9  303.2  284.2
  980.0    156    8.3    8.2     99   6.99    335     38  283.1  302.6  284.3
  939.0    508    5.5    5.5    100   6.05    345     48  283.7  300.7  284.8
  929.0    596    4.8    4.8    100   5.84    345     45  283.9  300.3  284.9
  925.0    631    4.6    4.6    100   5.78    345     44  284.0  300.3  285.0
  860.0   1222    1.0    1.0    100   4.80      0     39  286.2  300.0  287.0
  850.0   1317    0.4    0.4    100   4.66    355     39  286.6  300.0  287.4
  775.0   2051   -3.2   -4.3     92   3.60    355     30  290.3  301.0  290.9
  754.0   2270   -4.3   -5.7     90   3.33    348     31  291.4  301.4  292.0
  731.0   2512   -6.0   -6.8     94   3.15    340     32  292.2  301.7  292.8
  700.0   2851   -8.3   -8.4     99   2.91    350     36  293.3  302.1  293.8
  625.0   3717  -14.5  -15.0     96   1.92    355     39  295.8  301.8  296.1
  605.0   3965  -16.3  -16.9     95   1.69    354     39  296.5  301.9  296.8
  568.0   4437  -19.1  -24.1     65   0.97    351     40  298.6  301.8  298.8
  565.0   4476  -19.5  -24.3     66   0.95    350     40  298.6  301.8  298.8
  500.0   5370  -26.9  -30.1     74   0.63    345     41  300.2  302.3  300.3
  474.0   5753  -30.3  -31.9     86   0.56    340     43  300.6  302.5  300.7
  465.0   5890  -31.5  -32.5     91   0.54    340     44  300.8  302.6  300.8
  433.0   6391  -35.6  -38.5     75   0.32    340     46  301.7  302.8  301.8
  431.0   6424  -35.9  -38.9     74   0.31    340     46  301.8  302.9  301.8
  404.0   6872  -38.9  -53.9     19   0.06    344     41  303.5  303.7  303.5
  400.0   6940  -39.3  -53.3     21   0.07    345     40  303.8  304.1  303.9
  362.0   7614  -43.7  -55.3     27   0.06    350     38  306.7  306.9  306.7
  340.0   8038  -46.5  -56.5     31   0.05    335     31  308.5  308.7  308.5
  337.0   8097  -46.5  -57.4     28   0.05    335     31  309.2  309.4  309.2
  300.0   8870  -46.7  -69.7      6   0.01    350     29  319.4  319.5  319.4
  297.0   8937  -46.5  -70.1      5   0.01    355     27  320.6  320.6  320.6
  287.0   9166  -45.9  -71.3      4   0.01    340     21  324.7  324.7  324.7
  250.0  10090  -43.3  -76.3      1   0.00    340     14  341.6  341.6  341.6
  248.0  10144  -43.1  -76.1      1   0.00    345     13  342.6  342.7  342.6
  235.0  10503  -43.8  -76.8      1   0.00     15      6  346.9  346.9  346.9
  225.0  10794  -44.4  -77.4      1   0.00    340     11  350.4  350.4  350.4
  210.0  11254  -45.3  -78.3      1   0.00    295     14  355.9  355.9  355.9
  202.0  11514  -45.8  -78.8      1   0.00    310     14  359.1  359.1  359.1
  200.0  11580  -45.9  -78.9      1   0.00    305     11  359.9  359.9  359.9
  191.0  11883  -46.9  -79.7      1   0.00    295     13  363.1  363.1  363.1
  184.0  12129  -47.8  -80.3      1   0.00    320     21  365.6  365.6  365.6
  167.0  12768  -49.9  -81.9      1   0.00    320     13  372.3  372.3  372.3
  164.0  12887  -49.8  -82.0      1   0.00    320     11  374.3  374.4  374.3
  160.0  13048  -49.7  -82.1      1   0.00    335     10  377.1  377.1  377.1
  157.0  13172  -49.7  -82.2      1   0.00    330     12  379.3  379.3  379.3
  152.0  13383  -49.5  -82.4      1   0.00    345     10  383.0  383.1  383.0
  150.0  13470  -49.5  -82.5      1   0.00    355      7  384.6  384.6  384.6
  142.0  13828  -49.8  -82.8      1   0.00    305      6  390.1  390.1  390.1
  139.0  13967  -50.0  -83.0      1   0.00    265     10  392.2  392.2  392.2
