#
#03005  Lerwick Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
 1004.0     82    9.6    9.0     96   7.22    160     14  282.4  302.5  283.7
 1003.0     91    9.5    8.9     96   7.18    160     10  282.4  302.3  283.6
 1000.0    118    9.2    8.6     96   7.06    160     12  282.4  301.9  283.6
  993.0    176    8.7    8.5     98   7.05    160     17  282.4  302.0  283.6
  988.0    218    8.4    8.4    100   7.04    162     17  282.5  302.1  283.7
  968.0    386    7.4    7.4    100   6.72    170     19  283.2  301.9  284.3
  936.0    663    5.8    5.8    100   6.21    177     18  284.3  301.8  285.3
  925.0    760    5.6    5.5     99   6.16    180     17  285.0  302.4  286.1
  918.0    822    5.3    5.1     99   6.05    185     18  285.4  302.5  286.4
  898.0   1002    4.6    4.1     97   5.75    203     13  286.4  302.8  287.4
  891.0   1066    4.4    2.9     90   5.33    210     11  286.8  302.1  287.8
  873.0   1232    3.8   -0.1     76   4.37    238      9  287.9  300.6  288.7
  871.0   1251    4.0   -1.0     70   4.10    241      9  288.3  300.3  289.0
  868.0   1279    4.0   -2.0     65   3.82    246      9  288.6  299.8  289.3
  865.0   1307    4.0   -0.2     74   4.38    251      8  288.9  301.7  289.6
  860.0   1355    4.6   -0.4     70   4.34    259      8  290.0  302.7  290.7
  853.0   1421    4.3   -0.7     70   4.29    270      7  290.4  303.0  291.1
  850.0   1450    4.2   -0.8     70   4.26    275      7  290.5  303.1  291.3
  842.0   1527    3.6   -1.0     72   4.24    285     10  290.6  303.1  291.4
  835.0   1595    3.0   -1.2     74   4.22    291     13  290.8  303.2  291.5
  833.0   1614    3.0   -1.4     73   4.16    293     14  290.9  303.2  291.7
  831.0   1634    3.1   -0.5     77   4.45    295     15  291.3  304.4  292.1
  827.0   1673    3.4    1.2     86   5.07    292     15  292.0  306.9  292.9
  820.0   1742    3.2    0.1     80   4.72    285     16  292.5  306.4  293.3
  814.0   1801    2.8    0.0     82   4.73    280     16  292.6  306.6  293.5
  805.0   1891    2.1   -0.1     85   4.73    280     15  292.9  306.9  293.7
