#03354  Nottingham Observations at 00Z 09 Oct 2017
#
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
 1007.0    117   11.4   10.7     95   8.08    240      4  284.0  306.4  285.4
 1005.0    134   11.6   11.1     97   8.32    249      5  284.3  307.5  285.8
 1000.0    175   11.8   10.6     92   8.08    270      6  284.9  307.5  286.3
  990.0    259   12.2    9.9     86   7.79    287      9  286.2  308.1  287.5
  985.0    302   12.5    8.8     78   7.27    295     10  286.9  307.5  288.2
  984.0    310   12.6    8.6     77   7.17    295     10  287.1  307.4  288.3
  961.0    508   10.9    8.0     82   7.04    295     11  287.3  307.3  288.5
  931.0    772    8.7    7.2     90   6.87    270     12  287.6  307.2  288.8
  925.0    826    8.2    7.0     92   6.84    270     14  287.7  307.1  288.9
  921.0    862    8.0    6.8     92   6.77    273     15  287.8  307.1  289.0
  918.0    889    9.4    4.8     73   5.91    275     16  289.5  306.6  290.6
  917.0    898    9.4    4.8     73   5.91    276     16  289.6  306.7  290.7
  911.0    952    9.1    4.6     73   5.87    280     17  289.9  306.9  290.9
  901.0   1044    8.6    4.3     74   5.81    284     16  290.3  307.1  291.3
  872.0   1312    6.0    3.8     86   5.79    295     13  290.3  307.1  291.3
  855.0   1474    4.5    3.5     93   5.78    295     15  290.3  307.1  291.3
  850.0   1522    4.0    3.4     96   5.78    295     14  290.3  307.1  291.3
  842.0   1599    3.2    3.2    100   5.75    305     13  290.3  306.9  291.3
  830.0   1715    2.4    2.4    100   5.51    320     11  290.6  306.6  291.6
  825.0   1764    2.1    1.3     94   5.11    315     10  290.8  305.7  291.7
  823.0   1784    2.0    0.8     92   4.95    309     10  290.9  305.4  291.8
  820.0   1813    2.4    0.6     88   4.90    301     10  291.6  306.0  292.5
  818.0   1833    2.4    0.8     89   4.98    295     10  291.9  306.5  292.7
  808.0   1933    2.5    1.7     94   5.39    270      9  293.0  308.9  294.0
  804.0   1973    2.6    2.1     97   5.57    265     10  293.5  309.9  294.5
  803.0   1983    2.6    2.2     97   5.62    265     10  293.6  310.1  294.6
  798.0   2033    2.8    1.6     92   5.41    263     13  294.3  310.3  295.3
  795.0   2064    3.0    0.5     84   5.02    262     14  294.9  309.8  295.8
  791.0   2105    3.4   -4.6     56   3.45    261     16  295.7  306.2  296.3
  790.0   2115    3.6   -4.4     56   3.51    260     17  296.0  306.7  296.7
  789.0   2125    3.7   -4.0     57   3.62    260     17  296.2  307.2  296.9
  787.0   2146    3.8   -3.2     60   3.86    260     17  296.6  308.3  297.3
  781.0   2208    3.8   -4.2     56   3.60    260     15  297.2  308.2  297.9
  772.0   2302    3.2   -3.8     60   3.76    260     14  297.6  309.0  298.2
  760.0   2429    2.2   -2.8     70   4.11    260     11  297.8  310.3  298.6
  758.0   2450    2.2   -1.3     78   4.62    260     11  298.0  312.0  298.9
  757.0   2461    2.2   -0.5     82   4.90    260     11  298.1  312.9  299.0
  754.0   2493    1.8    0.3     90   5.21    262     11  298.1  313.7  299.0
  752.0   2515    1.6   -0.3     87   5.00    263     11  298.1  313.1  299.0
  749.0   2547    1.4    0.1     91   5.17    264     11  298.2  313.8  299.1
  738.0   2666    0.7   -1.4     86   4.71    270     12  298.6  312.9  299.5
  737.0   2677    0.6   -1.5     86   4.67    271     12  298.7  312.9  299.5
  729.0   2764    0.2   -1.4     89   4.74    280     13  299.2  313.6  300.0
  720.0   2864   -0.3   -1.4     92   4.82    280     14  299.7  314.4  300.6
  700.0   3089   -2.1   -2.1    100   4.71    280     15  300.1  314.5  301.0
  692.0   3180   -2.8   -2.8    100   4.52    280     15  300.3  314.2  301.2
  675.0   3377   -4.3   -4.3    100   4.14    280     21  300.8  313.5  301.6
  672.0   3412   -4.9   -5.9     93   3.68    280     22  300.5  311.9  301.2
  668.0   3459   -4.9   -5.5     96   3.82    280     23  301.0  312.8  301.7
