#
#03808  Camborne Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
 1011.0     88   13.4   13.2     99   9.51    210      6  285.7  312.1  287.3
 1000.0    182   13.0   12.9     99   9.43    230     11  286.1  312.5  287.8
  986.0    301   12.6   12.6    100   9.34    255     15  286.9  313.1  288.5
  974.0    403   12.3   12.2    100   9.27    265     17  287.6  313.6  289.2
  957.0    551   11.8   11.8    100   9.16    265     17  288.6  314.4  290.1
  925.0    836   10.4   10.4    100   8.63    265     18  289.9  314.5  291.4
  918.0    899   10.1   10.1    100   8.50    265     19  290.2  314.4  291.7
  879.0   1259    8.1    8.1    100   7.77    260     21  291.8  314.2  293.2
  850.0   1537    6.6    6.6    100   7.24    270     21  293.1  314.1  294.3
  836.0   1673    5.6    5.6    100   6.87    277     21  293.4  313.4  294.6
  832.0   1713    7.0    2.9     75   5.70    279     21  295.3  312.1  296.3
  828.0   1753    7.4    1.4     66   5.14    282     21  296.1  311.5  297.0
  823.0   1802    7.2    1.2     66   5.10    284     21  296.4  311.6  297.3
  787.0   2169    4.6    2.9     89   6.03    304     22  297.4  315.4  298.5
  785.0   2190    4.8    1.8     81   5.58    305     22  297.8  314.6  298.8
  777.0   2274    5.4   -2.6     56   4.08    308     24  299.4  311.9  300.1
  771.0   2337    6.2   -5.8     42   3.23    309     25  300.9  311.0  301.5
  769.0   2359    6.2   -4.8     45   3.50    310     26  301.1  312.0  301.8
  759.0   2466    6.4   -6.6     39   3.09    313     28  302.5  312.2  303.0
  756.0   2498    6.6  -14.4     21   1.67    314     29  303.0  308.5  303.3
  755.0   2509    6.8  -14.2     21   1.70    315     29  303.4  308.9  303.7
  754.0   2520    6.8  -13.2     22   1.84    315     29  303.5  309.5  303.8
  742.0   2652    5.4   -5.6     45   3.41    315     30  303.3  314.1  304.0
  725.0   2841    4.0   -7.0     45   3.13    315     31  303.8  313.7  304.4
  721.0   2886    3.6   -6.4     48   3.30    315     31  303.9  314.3  304.5
  718.0   2919    3.4   -7.6     44   3.02    315     31  304.0  313.6  304.6
  716.0   2942    3.2   -6.8     48   3.22    315     31  304.0  314.2  304.6
  713.0   2976    3.2   -7.8     44   3.00    315     31  304.4  313.9  304.9
  709.0   3022    3.0   -7.0     48   3.21    315     31  304.7  314.8  305.2
  700.0   3125    2.0   -9.0     44   2.78    315     32  304.7  313.6  305.2
  691.0   3229    1.0   -7.0     55   3.29    315     31  304.7  315.1  305.3
  689.0   3252    0.8   -7.1     55   3.27    315     31  304.7  315.1  305.3
  669.0   3488   -1.0   -8.1     59   3.13    320     31  305.3  315.2  305.8
  668.0   3500   -1.1   -8.1     59   3.12    320     31  305.3  315.2  305.9
  659.0   3608   -1.7   -9.7     54   2.79    317     32  305.8  314.8  306.3
  651.0   3704   -2.7  -10.2     56   2.71    315     32  305.8  314.5  306.3
  641.0   3827   -3.9  -10.9     58   2.61    313     31  305.7  314.1  306.2
  628.0   3988   -5.3  -13.3     53   2.20    311     29  305.9  313.1  306.3
  624.0   4038   -5.6  -14.9     48   1.94    310     29  306.2  312.6  306.5
  610.0   4215   -6.5  -20.5     32   1.23    310     35  307.1  311.3  307.3
  606.0   4266   -6.9  -20.9     32   1.20    309     33  307.2  311.3  307.4
  601.0   4331   -7.1  -23.1     27   1.00    308     31  307.7  311.1  307.9
  597.0   4383   -7.1  -26.1     20   0.77    307     29  308.3  311.0  308.4
  590.0   4474   -7.2  -31.6     12   0.47    305     26  309.2  310.9  309.3
  584.0   4554   -7.3  -36.3      8   0.30    303     26  310.0  311.1  310.1
  572.0   4715   -7.6  -38.5      6   0.24    300     27  311.5  312.4  311.6
  566.0   4797   -7.7  -39.7      6   0.22    294     28  312.3  313.1  312.4
  556.0   4934   -8.4  -41.1      5   0.19    285     31  313.1  313.9  313.1
  542.0   5132   -9.3  -43.0      5   0.16    300     26  314.2  314.9  314.3
  537.0   5203   -9.7  -43.7      4   0.15    299     27  314.7  315.2  314.7
  500.0   5750  -12.3  -42.3      6   0.19    290     39  318.0  318.7  318.0
  499.0   5765  -12.5  -41.5      7   0.20    290     39  317.9  318.7  318.0
  497.0   5796  -12.5  -36.5     12   0.34    289     39  318.3  319.6  318.4
  496.0   5811  -12.5  -29.5     23   0.67    289     39  318.5  320.9  318.6
  491.0   5889  -13.1  -26.1     33   0.93    287     38  318.6  322.0  318.8
  488.0   5935  -13.5  -26.5     33   0.90    287     38  318.7  322.0  318.9
  482.0   6029  -14.3  -25.3     39   1.02    285     37  318.9  322.5  319.1
  462.0   6349  -17.3  -24.3     54   1.17    279     36  319.0  323.1  319.2
  451.0   6529  -18.9  -27.9     45   0.86    275     35  319.2  322.3  319.4
  434.0   6814  -21.5  -28.2     55   0.87    270     33  319.4  322.6  319.6
  429.0   6900  -22.3  -28.3     58   0.87    272     33  319.5  322.6  319.6
