#
#03953  Valentia Observatory Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
 1020.0     30    7.4    7.2     99   6.28      0      0  279.0  296.2  280.0
 1016.0     60   12.4   -3.6     33   2.90    326      1  284.3  292.8  284.8
 1013.0     83   10.0    2.0     58   4.38    301      1  282.1  294.5  282.9
 1000.0    182   10.4    8.3     87   6.91    190      4  283.6  302.9  284.7
  977.0    376    9.2    8.5     95   7.17    214      6  284.2  304.3  285.5
  951.0    599    9.0    4.4     73   5.54    242      9  286.2  302.1  287.2
  939.0    705    8.8    7.0     88   6.73    255     10  287.1  306.2  288.2
  925.0    829    8.8    5.9     82   6.33    270     12  288.3  306.4  289.4
  916.0    910    8.4    5.3     81   6.15    280     14  288.7  306.3  289.8
  912.0    946    8.2    5.1     81   6.07    281     14  288.9  306.3  289.9
  895.0   1102    9.0    6.4     84   6.78    286     14  291.2  310.8  292.4
  850.0   1527    6.0    3.7     85   5.90    300     14  292.4  309.7  293.5
  820.0   1821    4.0    1.8     86   5.34    297     17  293.3  309.1  294.3
  800.0   2022    5.4   -9.6     33   2.32    294     19  296.9  304.1  297.3
  775.0   2281    5.8  -28.2      7   0.49    291     22  300.0  301.7  300.1
  750.0   2549    4.4  -29.6      6   0.44    288     26  301.3  302.9  301.4
  723.0   2845    2.2  -16.1     25   1.52    285     29  302.1  307.0  302.3
  700.0   3106    0.2   -4.1     73   4.05    280     29  302.7  315.3  303.4
  699.0   3117    0.2   -4.1     73   4.06    280     29  302.8  315.4  303.5
  657.0   3613   -2.1   -8.1     63   3.18    277     31  305.6  315.7  306.2
  634.0   3896   -3.7  -15.7     39   1.78    276     33  306.9  312.8  307.2
  598.0   4355   -7.7  -12.0     71   2.56    273     35  307.5  315.8  307.9
  582.0   4566   -8.3  -27.3     20   0.70    272     36  309.1  311.6  309.3
  565.0   4796   -9.7  -12.1     83   2.69    270     37  310.1  318.9  310.6
  514.0   5521  -14.5  -16.8     83   2.01    266     40  312.8  319.6  313.2
  500.0   5730  -15.7  -26.7     38   0.87    265     41  313.8  316.9  314.0
  469.0   6207  -19.3  -26.3     54   0.96    265     44  315.2  318.5  315.3
  453.0   6464  -20.3  -43.3     11   0.18    265     45  317.0  317.8  317.1
  400.0   7370  -26.7  -54.7      5   0.06    265     51  320.2  320.4  320.2
  359.0   8129  -32.5  -59.2      5   0.04    265     43  322.5  322.7  322.5
  311.0   9135  -40.1  -65.1      5   0.02    273     51  325.4  325.5  325.4
  300.0   9380  -41.9  -63.9      7   0.02    275     52  326.2  326.3  326.2
  250.0  10590  -51.1  -66.1     15   0.02    270     60  330.0  330.1  330.0
  224.0  11289  -55.3  -67.8     20   0.02    275     70  334.0  334.1  334.0
  201.0  11979  -59.5  -69.5     26   0.02    270     58  337.9  338.0  337.9
  200.0  12010  -59.5  -69.5     26   0.02    270     60  338.4  338.5  338.4
  150.0  13810  -60.5  -86.5      2   0.00    280     49  365.6  365.7  365.6
  143.0  14107  -60.9  -89.9      1   0.00    280     46  370.0  370.0  370.0
  141.0  14195  -58.5  -88.5      1   0.00    280     45  375.7  375.7  375.7
  118.0  15304  -62.5  -91.5      1   0.00    280     35  387.9  387.9  387.9
