#
#06011  Torshavn Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
 1001.0     56   11.2   10.9     98   8.24    200     12  284.3  307.2  285.7
 1000.0     62   10.8    9.9     94   7.71    200     10  283.9  305.4  285.3
  998.0     79    9.8    7.3     84   6.47    201     11  283.1  301.2  284.2
  995.0    104    9.6    5.7     77   5.80    202     11  283.2  299.5  284.1
  991.0    137    9.6    6.4     80   6.12    204     13  283.5  300.6  284.5
  963.0    375    8.8    6.0     83   6.12    215     21  285.0  302.2  286.0
  925.0    708    7.6    5.4     86   6.11    210     24  287.1  304.5  288.1
  898.0    952    6.4    4.1     85   5.75    210     26  288.3  304.8  289.3
  850.0   1401    3.6    1.2     84   4.93    210     31  289.9  304.3  290.8
  831.0   1584    2.3    0.7     89   4.85    205     33  290.4  304.6  291.3
  826.0   1633    2.0    0.5     90   4.83    205     33  290.6  304.7  291.4
  809.0   1800    0.2   -2.2     84   4.04    207     32  290.4  302.3  291.1
  766.0   2238   -0.5   -5.5     69   3.33    213     31  294.2  304.3  294.8
  748.0   2428   -1.3   -3.9     82   3.85    215     30  295.4  307.0  296.1
  743.0   2481   -1.5   -8.5     59   2.72    216     30  295.7  304.1  296.2
  737.0   2546   -2.1   -4.7     82   3.68    217     30  295.7  306.9  296.4
  720.0   2731   -2.7   -9.7     59   2.56    219     29  297.1  305.0  297.5
  717.0   2764   -2.7   -7.4     70   3.07    220     29  297.4  306.9  298.0
  715.0   2786   -2.9   -7.4     71   3.08    220     29  297.5  307.0  298.0
  700.0   2954   -4.1   -7.5     77   3.12    210     26  297.9  307.6  298.5
  689.0   3078   -5.0   -8.4     77   2.96    205     23  298.2  307.4  298.8
  622.0   3876  -10.9  -14.3     76   2.04    220     35  300.4  306.9  300.7
  601.0   4139  -12.0  -15.2     77   1.96    225     39  302.0  308.3  302.4
  578.0   4438  -13.3  -16.2     79   1.88    225     37  303.9  310.0  304.3
  546.0   4870  -15.9  -20.3     69   1.40    225     35  305.8  310.5  306.1
  540.0   4954  -16.1  -39.1     12   0.24    225     34  306.5  307.4  306.6
  530.0   5094  -16.7  -32.7     24   0.46    225     34  307.4  309.1  307.5
  524.0   5180  -17.7  -22.7     65   1.18    225     33  307.2  311.3  307.5
  519.0   5252  -17.9  -29.9     34   0.62    225     33  307.9  310.0  308.0
  516.0   5295  -18.1  -26.1     50   0.89    225     32  308.1  311.2  308.3
  500.0   5530  -19.5  -37.5     19   0.31    225     31  309.2  310.3  309.3
  494.0   5620  -19.5  -50.5      5   0.08    226     31  310.3  310.6  310.3
