#
#06610 LSMP Payerne Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
# 1000.0    183                                                               
  964.0    491   10.8    8.2     84   7.12    205      2  286.9  307.1  288.2
  957.0    551   11.6    7.6     76   6.89    193      2  288.4  308.0  289.6
  949.0    621   11.4    6.5     72   6.45    180      2  288.9  307.4  290.0
  948.0    629   11.4    6.4     71   6.40     30      0  288.9  307.3  290.0
  946.0    647   11.3    6.3     72   6.38    345      2  289.0  307.3  290.1
  945.0    656   11.2    6.3     72   6.37    339      2  289.0  307.3  290.1
  939.0    708   10.8    6.3     74   6.43    305      2  289.1  307.5  290.2
  933.0    761   10.4    6.4     76   6.48    355      4  289.2  307.8  290.3
  925.0    832    9.8    6.4     79   6.56    350      4  289.3  308.1  290.5
  854.0   1490    4.8    3.6     92   5.83    336      8  290.8  307.7  291.8
  850.0   1528    4.6    3.5     93   5.82    335      8  290.9  307.9  292.0
  849.0   1538    4.4    3.3     93   5.75    337      7  290.8  307.5  291.9
  840.0   1624    4.1    2.3     88   5.40    355      2  291.4  307.2  292.4
  835.0   1673    3.9    1.7     86   5.22    310      2  291.7  307.0  292.6
  826.0   1761    3.6    0.7     81   4.90    318      3  292.3  306.7  293.1
  819.0   1830    3.0    1.0     87   5.05    324      3  292.4  307.2  293.2
  813.0   1890    2.6    1.4     92   5.24    330      4  292.6  307.9  293.5
  798.0   2040    1.6   -1.6     79   4.28    308      4  293.1  305.8  293.8
  781.0   2213    0.4   -1.5     87   4.41    283      4  293.6  306.7  294.4
  773.0   2296   -0.5   -3.8     78   3.75    271      4  293.5  304.7  294.1
  743.0   2610   -3.3   -4.0     95   3.84    225      4  293.7  305.2  294.4
  735.0   2696   -4.1   -4.1    100   3.86    240      4  293.8  305.4  294.5
  730.0   2750   -4.3   -4.5     99   3.77    250      4  294.1  305.4  294.8
  715.0   2913   -5.0   -5.7     95   3.52    235      6  295.1  305.8  295.7
  705.0   3024   -5.5   -6.5     93   3.35    299      9  295.8  306.0  296.4
