#
#07110 LFRB Brest Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
 1012.0     98   14.4   14.4    100  10.29    280      4  286.6  315.3  288.4
 1000.0    191   14.0   14.0    100  10.14    285      5  287.1  315.5  288.9
  925.0    847   11.2   10.9     98   8.92    320     10  290.8  316.2  292.3
  885.0   1216    9.7    9.2     97   8.31    340     13  292.9  316.9  294.4
  867.0   1387    9.0    8.4     96   8.04    330     13  293.9  317.2  295.3
  850.0   1551    7.8    7.2     96   7.55    320     13  294.3  316.3  295.6
  802.0   2026    4.4    3.7     96   6.28    295     12  295.6  314.1  296.7
  762.0   2444    1.4    0.7     95   5.31    304     14  296.7  312.6  297.7
  758.0   2486    1.2    0.8     97   5.38    305     14  296.9  313.0  297.9
  753.0   2540    2.6   -5.4     56   3.41    307     15  299.0  309.6  299.6
  748.0   2594    3.8   -4.2     56   3.76    308     15  300.9  312.6  301.6
  716.0   2949    3.6   -8.4     41   2.85    316     17  304.5  313.6  305.0
  700.0   3132    2.6  -11.4     35   2.30    320     18  305.3  312.8  305.8
  663.0   3569    0.4  -18.2     23   1.38    330     20  307.6  312.3  307.9
  660.0   3606    0.2  -18.8     22   1.32    329     20  307.8  312.3  308.1
  560.0   4904   -7.3  -26.3     20   0.80    306     22  313.8  316.6  313.9
  548.0   5073   -7.1  -29.1     15   0.63    303     23  315.9  318.2  316.1
  500.0   5780  -13.1  -27.1     30   0.83    290     24  317.0  320.0  317.2
  488.0   5964  -14.7  -27.7     32   0.81    287     24  317.2  320.2  317.4
  482.0   6057  -15.3  -28.8     30   0.74    285     24  317.7  320.4  317.8
  429.0   6927  -20.5  -39.5     17   0.29    291     28  321.8  322.9  321.8
  400.0   7440  -24.9  -31.9     52   0.66    295     30  322.5  325.0  322.7
  374.0   7925  -29.1  -30.9     84   0.78    297     32  323.2  326.1  323.4
  312.0   9193  -39.9  -43.0     72   0.28    304     38  325.4  326.4  325.4
  307.0   9303  -41.1  -43.2     80   0.27    304     38  325.2  326.2  325.2
  300.0   9460  -41.9  -46.0     64   0.21    305     39  326.2  327.0  326.2
  285.0   9807  -43.7  -54.7     29   0.08    306     41  328.4  328.8  328.4
  250.0  10680  -49.7  -59.7     30   0.05    310     45  332.1  332.3  332.1
  200.0  12100  -59.5  -67.5     35   0.02    315     52  338.4  338.5  338.4
  197.0  12194  -60.1  -67.8     36   0.02    315     52  338.8  338.9  338.8
  190.0  12419  -61.7  -68.7     39   0.02    315     50  339.8  339.9  339.9
  150.0  13880  -62.3  -72.3     25   0.01    300     38  362.6  362.6  362.6
  136.0  14487  -62.5  -77.3     12   0.01    295     33  372.5  372.5  372.5
  113.0  15634  -62.9  -86.8      3   0.00    320     26  392.0  392.0  392.0
  104.0  16147  -63.1  -91.1      1   0.00    306     25  401.0  401.0  401.0
  100.0  16390  -62.7  -91.7      1   0.00    300     24  406.3  406.3  406.3
