#
#07145  Trappes Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
 1003.0    168   11.0    9.4     90   7.43    350      1  283.9  304.6  285.2
 1000.0    188   10.8    7.5     80   6.54    350      1  283.9  302.3  285.1
  997.0    213   10.4    4.4     66   5.28    349      1  283.8  298.8  284.7
  984.0    322   10.2    8.3     88   7.03    344      3  284.7  304.4  285.9
  937.0    729    8.0    3.0     71   5.09    325      9  286.4  301.0  287.3
  925.0    835    7.2    2.7     73   5.05    320     11  286.7  301.2  287.5
  871.0   1326    3.2    1.0     85   4.74    300     18  287.5  301.2  288.3
  850.0   1525    1.6    0.3     91   4.62    305     19  287.8  301.2  288.6
  836.0   1659    0.6   -0.1     95   4.56    309     19  288.1  301.4  288.9
  810.0   1914    4.0  -14.0     26   1.61    316     20  294.4  299.4  294.6
  732.0   2733    1.8  -20.8     17   1.01    340     22  300.6  303.9  300.8
  725.0   2810    1.6  -21.4     16   0.96    340     22  301.2  304.4  301.4
  700.0   3092   -0.1  -21.1     19   1.02    340     20  302.3  305.8  302.5
  694.0   3161   -0.7  -20.7     20   1.07    340     20  302.4  306.0  302.6
  641.0   3790   -4.5  -18.5     33   1.39    344     15  305.1  309.7  305.3
  637.0   3839   -5.1  -14.1     49   2.03    344     15  304.9  311.5  305.3
  632.0   3901   -5.1  -14.1     49   2.04    345     14  305.6  312.3  306.0
  630.0   3926   -5.1  -15.1     45   1.89    345     14  305.9  312.1  306.2
  614.0   4127   -5.1  -23.1     23   0.98    344     15  308.1  311.5  308.3
  601.0   4295   -5.7  -23.7     23   0.95    343     16  309.3  312.6  309.5
  537.0   5167  -11.1  -33.1     14   0.44    338     22  313.0  314.6  313.1
  500.0   5710  -15.3  -28.3     32   0.75    335     25  314.3  317.0  314.5
  497.0   5756  -15.7  -28.7     32   0.72    335     25  314.4  317.0  314.5
  471.0   6161  -18.1  -34.1     23   0.46    334     28  316.3  317.9  316.4
  462.0   6306  -17.9  -39.9     13   0.26    333     29  318.3  319.3  318.3
  439.0   6687  -21.1  -29.1     49   0.79    332     31  318.9  321.8  319.0
  400.0   7370  -26.7  -35.7     42   0.46    330     36  320.2  321.9  320.3
  325.0   8828  -39.1  -48.1     38   0.15    326     46  322.7  323.3  322.7
  301.0   9347  -43.1  -51.2     41   0.11    325     49  324.2  324.6  324.2
  300.0   9370  -43.3  -51.3     41   0.11    325     49  324.2  324.7  324.2
  253.0  10493  -52.3  -59.3     43   0.05    330     42  327.1  327.3  327.1
  250.0  10570  -52.7  -59.7     42   0.05    330     41  327.6  327.8  327.6
  234.0  10988  -55.1  -61.8     43   0.04    330     38  330.2  330.3  330.2
  200.0  11980  -60.9  -66.9     45   0.02    330     43  336.2  336.3  336.2
  195.0  12137  -61.9  -67.9     45   0.02    330     44  337.0  337.1  337.0
  194.0  12169  -62.1  -68.1     44   0.02    330     44  337.2  337.3  337.2
  169.0  13026  -59.9  -72.9     17   0.01    330     49  354.4  354.5  354.4
  166.0  13138  -59.3  -73.3     15   0.01    330     50  357.2  357.3  357.2
  164.0  13213  -59.5  -73.6     14   0.01    330     50  358.1  358.2  358.1
  150.0  13770  -60.9  -75.9     12   0.01    325     33  365.0  365.0  365.0
  135.0  14423  -62.5  -80.5      7   0.00    310     47  373.3  373.3  373.3
  121.0  15103  -60.1  -82.1      4   0.00    335     29  389.5  389.6  389.5
  116.0  15366  -60.4  -84.0      3   0.00    315     27  393.7  393.7  393.7
  100.0  16290  -61.5  -90.5      1   0.00    325     22  408.6  408.6  408.6
