#
#07645 LFME Nimes-Courbessac Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
 1012.0     60   14.4    8.4     67   6.88      0     11  286.6  306.1  287.8
 1000.0    161   14.4    7.4     63   6.50    355     13  287.6  306.1  288.7
  972.0    401   14.6    6.6     59   6.32    349     19  290.1  308.4  291.2
  932.0    755   12.6    4.6     58   5.72    340     28  291.5  308.2  292.5
  925.0    819   12.2    4.2     58   5.62    345     28  291.8  308.2  292.8
  891.0   1132   10.4    2.4     58   5.13      6     27  293.1  308.2  294.0
  876.0   1273   10.3    1.2     53   4.80     15     27  294.4  308.7  295.2
  863.0   1397   10.2    0.2     50   4.52      5     27  295.5  309.1  296.3
  850.0   1523   10.0   -4.0     37   3.36    355     28  296.6  306.9  297.2
  828.0   1741    9.8  -15.2     16   1.42    344     29  298.6  303.2  298.9
  812.0   1902    8.8  -15.4     16   1.43    335     29  299.2  303.9  299.5
  809.0   1933    8.6  -15.4     17   1.43    335     29  299.3  304.0  299.6
  773.0   2307    5.4    0.8     72   5.27    330     28  299.8  315.8  300.8
  767.0   2371    5.6  -11.4     28   2.10    329     28  300.7  307.4  301.1
  744.0   2619    4.0   -1.0     70   4.80    326     27  301.6  316.3  302.5
  701.0   3101    0.6   -4.2     70   4.02    320     26  303.0  315.5  303.7
  700.0   3112    0.6   -4.2     70   4.02    320     26  303.1  315.6  303.9
  696.0   3158    0.8   -3.7     72   4.20    320     26  303.8  316.9  304.6
  670.0   3463    0.2  -11.8     40   2.32    316     25  306.5  314.0  306.9
  663.0   3547    0.0  -12.0     40   2.31    315     25  307.2  314.7  307.6
  659.0   3596   -0.5   -6.5     64   3.58    315     24  307.1  318.6  307.8
  623.0   4040   -3.5   -8.9     66   3.15    310     23  308.7  318.8  309.3
  598.0   4364   -5.7  -10.6     68   2.87    316     23  309.8  319.1  310.3
  578.0   4630   -6.5  -25.5     21   0.84    321     23  311.9  314.8  312.0
  574.0   4684   -6.9  -25.9     20   0.81    322     23  312.0  314.9  312.2
