#
#07761 LFKJ Ajaccio Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
# 1015.0      5   15.0   10.2     73   7.75     40      8  286.9  308.8  288.3
 1000.0    132   15.6    9.6     67   7.55     20      8  288.8  310.3  290.1
  978.0    322   16.8    9.8     63   7.83    347      8  291.8  314.4  293.2
  925.0    794   12.8    9.1     78   7.90    265      7  292.4  315.2  293.8
  903.0    995   11.1    8.5     84   7.77    225      7  292.6  315.1  294.0
  885.0   1164    9.6    8.0     90   7.66    235      9  292.8  315.0  294.1
  874.0   1268    9.6    7.2     85   7.34    241     10  293.8  315.2  295.1
  860.0   1402   11.4    3.4     58   5.71    249     11  297.1  314.1  298.1
  850.0   1500   10.6    3.6     62   5.86    255     12  297.2  314.7  298.3
  823.0   1768    8.2    2.2     66   5.48    270     15  297.4  313.9  298.4
  808.0   1920    8.6   -5.4     37   3.18    279     16  299.4  309.3  300.0
  790.0   2106    8.1   -4.4     41   3.50    290     18  300.8  311.7  301.4
  761.0   2414    7.2   -2.8     49   4.11    331      6  303.1  315.9  303.9
  758.0   2446    6.9   -3.2     48   4.01    335      5  303.2  315.6  303.9
  716.0   2911    3.2   -8.8     41   2.76    321     15  304.0  312.8  304.5
  705.0   3037    2.2  -10.8     38   2.39    317     18  304.3  312.0  304.7
  700.0   3094    2.0  -12.0     35   2.19    315     19  304.7  311.8  305.1
  680.0   3327    0.6  -20.4     19   1.12    309     24  305.6  309.4  305.9
  671.0   3435    1.0  -28.0      9   0.57    306     26  307.2  309.3  307.4
  668.0   3471    1.3  -26.9     10   0.64    305     27  307.9  310.2  308.1
  664.0   3519    1.6  -25.4     11   0.73    305     27  308.9  311.4  309.0
  500.0   5740  -13.9  -39.9      9   0.24    295     27  316.0  316.9  316.1
  483.0   6002  -15.7  -41.7      9   0.20    294     27  316.9  317.8  317.0
  467.0   6255  -17.7  -23.7     59   1.22    293     27  317.5  321.8  317.8
  430.0   6866  -23.1  -31.1     48   0.67    292     28  318.2  320.7  318.4
  402.0   7354  -27.9  -31.5     71   0.69    290     28  318.2  320.7  318.3
  400.0   7390  -28.1  -32.0     69   0.66    290     28  318.4  320.8  318.5
  362.0   8100  -32.9  -42.9     36   0.24    286     28  321.2  322.1  321.2
  339.0   8557  -37.1  -38.8     84   0.39    283     28  321.5  323.0  321.6
  327.0   8806  -39.1  -43.6     62   0.25    282     28  322.1  323.1  322.2
  314.0   9081  -41.5  -46.7     57   0.18    280     28  322.6  323.3  322.6
  300.0   9390  -44.1  -50.1     51   0.13    285     31  323.1  323.6  323.1
  295.0   9502  -45.1  -52.1     45   0.11    286     32  323.2  323.7  323.2
  275.0   9969  -44.3  -64.3      9   0.02    290     38  330.9  331.1  330.9
  256.0  10444  -46.5  -64.5     11   0.03    294     43  334.5  334.6  334.5
  250.0  10600  -47.7  -64.7     12   0.03    295     45  335.0  335.1  335.0
  237.0  10947  -50.4  -65.4     15   0.02    295     49  336.0  336.2  336.1
  213.0  11639  -55.9  -66.9     24   0.02    300     39  337.9  338.1  337.9
  211.0  11699  -55.9  -66.9     24   0.02    300     38  338.9  339.0  338.9
  209.0  11760  -56.0  -67.2     23   0.02    300     37  339.7  339.8  339.7
  200.0  12040  -56.3  -68.3     21   0.02    300     40  343.4  343.5  343.5
  185.0  12533  -57.0  -69.8     18   0.02    305     47  350.1  350.2  350.1
  168.0  13143  -57.8  -71.6     16   0.01    310     27  358.6  358.6  358.6
  150.0  13860  -58.7  -73.7     13   0.01    295     46  368.8  368.8  368.8
  148.0  13943  -58.8  -74.3     12   0.01    290     49  370.0  370.0  370.0
  106.0  16018  -61.7  -89.0      2   0.00    295     30  401.5  401.5  401.5
  101.0  16319  -62.1  -91.1      1   0.00    283     32  406.3  406.3  406.3
  100.0  16380  -62.1  -91.1      1   0.00    280     32  407.5  407.5  407.5
   99.0  16442  -62.2  -91.1      1   0.00    275     32  408.5  408.5  408.5
   90.0  17030  -62.9  -91.2      1   0.00    310     23  418.3  418.3  418.3
   86.0  17311  -63.3  -91.3      1   0.00    290     28  423.1  423.1  423.1
   85.7  17332  -63.3  -91.3      1   0.00    291     28  423.4  423.4  423.4
   78.2  17900  -60.3  -89.3      1   0.00    305     25  440.9  440.9  440.9
   76.0  18078  -60.6  -89.6      1   0.00    310     24  443.9  443.9  443.9
   71.0  18502  -61.2  -90.2      1   0.00    270      9  451.3  451.4  451.3
   70.0  18590  -61.3  -90.3      1   0.00    285      9  452.9  452.9  452.9
   68.0  18769  -61.5  -90.5      1   0.00    325     10  456.1  456.1  456.1
   59.4  19605  -62.7  -91.7      1   0.00    282     22  471.5  471.5  471.5
   59.0  19647  -62.5  -91.5      1   0.00    280     23  472.9  472.9  472.9
   50.5  20617  -57.7  -87.7      1   0.00    332      9  505.6  505.7  505.6
   50.0  20680  -57.9  -87.9      1   0.00    335      8  506.6  506.6  506.6
   49.1  20794  -58.3  -88.3      1   0.00    340      6  508.3  508.3  508.3
   46.0  21205  -58.2  -88.2      1   0.00      0      0  518.1  518.1  518.1
   41.0  21929  -58.0  -88.0      1   0.00    245     24  535.8  535.8  535.8
   36.7  22626  -57.9  -87.9      1   0.00    271     23  553.4  553.4  553.4
   36.0  22748  -57.3  -87.5      1   0.01    275     23  558.0  558.0  558.0
   32.8  23339  -54.5  -85.5      1   0.01    284     21  580.5  580.5  580.5
   31.0  23700  -54.6  -85.6      1   0.01    290     20  589.6  589.6  589.6
   30.0  23910  -54.7  -85.7      1   0.01    280     20  594.9  595.0  594.9
   27.0  24584  -54.9  -85.9      1   0.01    235     24  612.6  612.7  612.7
   26.3  24752  -54.9  -85.9      1   0.01    252     27  617.2  617.2  617.2
   26.0  24827  -54.6  -85.7      1   0.01    260     28  620.0  620.1  620.0
