#
#10035  Schleswig Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
 1012.0     47    4.6    3.9     95   5.03    290      6  276.8  290.6  277.6
 1009.0     74    8.2    2.2     66   4.46    301      7  280.6  293.2  281.4
 1005.0    110    9.2    1.2     57   4.17    316      8  281.9  293.8  282.7
 1000.0    155    9.2    1.2     57   4.19    335     10  282.4  294.3  283.1
  996.0    188    9.5    0.7     54   4.06    340     10  283.0  294.6  283.7
  995.0    197    9.6    0.6     53   4.03    339     10  283.2  294.7  283.9
  971.0    397    8.0   -1.0     53   3.68    325     12  283.5  294.1  284.1
  925.0    796    4.8   -4.2     52   3.04    325     12  284.2  293.1  284.7
  881.0   1192    1.6   -6.4     55   2.70    345     15  284.9  292.8  285.3
  870.0   1293    1.4   -8.0     50   2.41    350     16  285.7  292.9  286.1
  850.0   1481    1.0  -11.0     40   1.95    340     16  287.2  293.1  287.5
  827.0   1701    0.4  -13.6     34   1.63    329     17  288.8  293.8  289.1
  820.0   1768   -0.0  -14.2     34   1.57    325     17  289.0  293.9  289.3
  700.0   3014   -8.3  -24.3     26   0.77    330     27  293.3  295.8  293.4
  650.0   3585  -11.5  -30.5     19   0.47    328     29  295.9  297.5  296.0
  581.0   4440  -14.3  -46.3      5   0.10    326     30  302.3  302.7  302.3
  580.0   4453  -14.3  -46.3      5   0.10    326     31  302.4  302.8  302.5
  561.0   4702  -16.1  -44.8      7   0.13    325     31  303.2  303.6  303.2
  517.0   5311  -20.6  -41.0     14   0.21    340     41  304.9  305.6  304.9
  500.0   5560  -22.5  -39.5     20   0.25    330     41  305.6  306.5  305.6
  487.0   5753  -24.1  -41.1     19   0.22    331     43  305.9  306.7  305.9
  425.0   6739  -29.7  -43.7     24   0.19    334     56  310.9  311.6  310.9
  415.0   6909  -30.5  -53.5      9   0.06    334     59  312.0  312.2  312.0
  400.0   7170  -32.3  -46.3     24   0.15    335     62  312.9  313.5  313.0
  364.0   7826  -37.5  -43.5     53   0.22    337     70  314.5  315.4  314.6
  322.0   8659  -44.1  -54.1     32   0.08    339     81  316.6  316.9  316.6
  313.0   8848  -44.9  -61.9     13   0.03    339     84  318.1  318.2  318.1
  300.0   9130  -46.5  -59.5     21   0.04    340     87  319.7  319.9  319.7
  260.0  10067  -52.7  -59.7     42   0.05    335     93  323.9  324.1  323.9
  259.0  10092  -52.8  -60.2     40   0.04    335     93  324.2  324.4  324.2
  250.0  10320  -53.5  -64.5     25   0.03    335     91  326.4  326.5  326.4
  228.0  10910  -55.5  -71.5     12   0.01    335     82  332.1  332.1  332.1
  205.0  11592  -53.9  -75.6      5   0.01    335     56  344.9  344.9  344.9
  200.0  11750  -53.5  -76.5      4   0.01    330     58  347.9  347.9  347.9
  183.0  12321  -52.1  -80.1      2   0.00    326     54  359.1  359.1  359.1
  157.0  13307  -53.3  -83.6      1   0.00    320     47  373.1  373.1  373.1
  150.0  13600  -53.7  -84.7      1   0.00    330     47  377.3  377.4  377.4
  139.0  14091  -53.4  -85.2      1   0.00    345     37  386.2  386.2  386.2
  133.0  14376  -53.2  -85.4      1   0.00    325     33  391.4  391.4  391.4
  124.0  14828  -52.9  -85.8      1   0.00    335     29  399.8  399.8  399.8
  123.0  14880  -52.9  -85.9      1   0.00    334     30  400.8  400.8  400.8
  115.0  15310  -55.5  -86.8      1   0.00    325     39  403.8  403.9  403.8
  109.0  15653  -57.5  -87.5      1   0.00    335     27  406.2  406.2  406.2
  105.0  15890  -56.8  -87.7      1   0.00    315     23  411.9  411.9  411.9
  100.0  16200  -55.9  -87.9      1   0.00    310     27  419.4  419.5  419.4
   96.0  16458  -56.6  -88.0      1   0.00    295     25  423.0  423.0  423.0
   93.2  16645  -57.1  -88.1      1   0.00    306     30  425.6  425.6  425.6
   91.0  16797  -56.4  -88.2      1   0.00    315     33  430.0  430.0  430.0
   85.6  17185  -54.5  -88.5      1   0.00    326     31  441.3  441.3  441.3
   81.0  17535  -55.3  -88.7      1   0.00    335     29  446.8  446.8  446.8
   77.0  17856  -56.0  -88.9      1   0.00    305     23  451.8  451.8  451.8
   74.0  18108  -56.5  -89.1      1   0.00    335     21  455.8  455.8  455.8
   70.0  18460  -57.3  -89.3      1   0.00    335     21  461.4  461.5  461.4
   69.0  18550  -57.6  -89.4      1   0.00    335     16  462.7  462.7  462.7
   68.0  18641  -57.9  -89.5      1   0.00    320     12  463.9  463.9  463.9
   67.0  18734  -58.2  -89.5      1   0.00    310     12  465.2  465.2  465.2
   66.0  18828  -58.6  -89.6      1   0.00    310     14  466.5  466.5  466.5
   63.0  19118  -59.6  -89.9      1   0.00    290     16  470.5  470.5  470.5
