#
#10184  Greifswald Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
# 1013.0      2    7.8    4.6     80   5.27    275      6  279.9  294.6  280.8
 1000.0    114    8.6    3.8     72   5.05    295     21  281.8  295.9  282.6
  993.0    172    8.8    3.8     71   5.09    300     23  282.5  296.9  283.4
  987.0    222    8.4    3.6     72   5.05    305     25  282.6  296.8  283.4
  925.0    753    3.8    1.7     86   4.70    325     25  283.2  296.5  284.0
  895.0   1018    1.7    0.2     89   4.35    320     25  283.7  296.2  284.5
  869.0   1255   -0.1   -1.2     93   4.06    340     23  284.2  295.9  284.9
  850.0   1433   -1.5   -2.2     95   3.85    330     25  284.6  295.6  285.2
  830.0   1622   -2.9   -3.6     95   3.55    334     22  285.0  295.3  285.6
  827.0   1651   -2.5   -4.8     84   3.25    335     21  285.7  295.2  286.2
  818.0   1738   -1.5   -8.5     59   2.47    332     23  287.7  295.1  288.1
  799.0   1923   -2.7  -10.3     56   2.19    325     27  288.3  294.9  288.7
  733.0   2599   -7.3  -17.1     45   1.37    335     25  290.6  294.9  290.8
  700.0   2961   -9.7  -20.7     40   1.06    325     29  291.7  295.1  291.9
  690.0   3071  -10.5  -21.9     38   0.96    320     33  292.1  295.2  292.2
  658.0   3434  -13.0  -25.9     33   0.71    335     31  293.2  295.6  293.3
  637.0   3682  -14.7  -28.7     29   0.57    333     30  294.0  295.9  294.1
  613.0   3968  -16.3  -32.6     23   0.41    330     29  295.4  296.8  295.5
  523.0   5151  -22.7  -48.7      7   0.09    334     44  301.4  301.7  301.4
  500.0   5480  -24.3  -50.3      7   0.08    335     49  303.4  303.6  303.4
  457.0   6130  -28.3  -47.3     14   0.12    335     56  306.2  306.7  306.3
  441.0   6382  -30.4  -47.8     17   0.11    335     58  306.7  307.1  306.7
  400.0   7070  -36.3  -49.3     25   0.11    335     56  307.7  308.1  307.8
  372.0   7567  -40.5  -51.5     30   0.09    334     59  308.6  309.0  308.6
  344.0   8094  -44.1  -54.1     32   0.07    332     62  310.7  311.0  310.7
  338.0   8212  -44.5  -59.5     17   0.04    332     63  311.7  311.9  311.7
  300.0   9000  -48.7  -59.7     27   0.04    330     68  316.6  316.8  316.6
  297.0   9066  -48.9  -60.9     23   0.04    330     68  317.2  317.4  317.2
  281.0   9431  -48.5  -65.2     13   0.02    335     72  322.8  322.9  322.8
  280.0   9455  -48.5  -65.5     12   0.02    335     72  323.2  323.3  323.2
  250.0  10200  -50.1  -70.1      8   0.01    335     64  331.4  331.5  331.4
  228.0  10803  -50.9  -72.9      6   0.01    333     58  339.1  339.1  339.1
  200.0  11660  -50.3  -77.3      3   0.01    330     49  352.9  353.0  353.0
  176.0  12496  -48.8  -80.5      1   0.00    325     43  368.6  368.6  368.6
  175.0  12533  -48.7  -80.7      1   0.00    325     43  369.3  369.3  369.3
  166.0  12878  -49.4  -81.4      1   0.00    325     47  373.8  373.8  373.8
  153.0  13411  -50.4  -82.4      1   0.00    340     35  380.8  380.8  380.8
  150.0  13540  -50.7  -82.7      1   0.00    335     31  382.5  382.5  382.5
  132.0  14361  -52.5  -83.8      1   0.00    305     17  393.5  393.5  393.5
  127.0  14609  -53.1  -84.1      1   0.00    295     25  396.9  396.9  396.9
  115.0  15246  -54.5  -84.9      1   0.00    310     39  405.7  405.7  405.7
  107.0  15709  -55.5  -85.5      1   0.00    337     27  412.2  412.2  412.2
  106.0  15769  -55.4  -85.5      1   0.00    340     25  413.5  413.6  413.5
  100.0  16140  -54.5  -85.5      1   0.00    315     19  422.1  422.2  422.1
   94.0  16536  -54.9  -85.7      1   0.00    305     31  428.9  428.9  428.9
   86.0  17104  -55.5  -86.1      1   0.00    330     27  438.7  438.7  438.7
   83.0  17331  -55.8  -86.2      1   0.00    325     17  442.7  442.7  442.7
   80.0  17566  -56.0  -86.4      1   0.00    295     14  446.9  446.9  446.9
   71.0  18329  -56.8  -86.8      1   0.00    305     17  460.6  460.7  460.6
   70.0  18420  -56.9  -86.9      1   0.00    295     17  462.3  462.3  462.3
   69.0  18511  -57.0  -87.0      1   0.00    290     21  463.9  464.0  463.9
   67.0  18696  -57.3  -87.1      1   0.00    305     25  467.3  467.3  467.3
   63.0  19084  -57.8  -87.5      1   0.00    335     17  474.4  474.4  474.4
   59.0  19498  -58.4  -87.8      1   0.00    305     16  482.0  482.0  482.0
   53.5  20115  -59.3  -88.3      1   0.00    323     19  493.7  493.7  493.7
   53.0  20174  -59.1  -88.3      1   0.00    325     19  495.4  495.4  495.4
   51.0  20416  -58.5  -88.2      1   0.00    335     14  502.4  502.5  502.4
   50.0  20540  -58.1  -88.1      1   0.00    330     10  506.1  506.2  506.1
   47.5  20863  -56.1  -88.1      1   0.00    355      2  518.4  518.4  518.4
   47.0  20930  -56.2  -88.1      1   0.00      0      0  519.7  519.7  519.7
   44.0  21345  -56.8  -88.3      1   0.00    260     10  528.1  528.1  528.1
   42.0  21638  -57.2  -88.4      1   0.00    305     12  534.1  534.1  534.1
   40.0  21944  -57.7  -88.6      1   0.00    260     10  540.4  540.5  540.4
   35.2  22749  -58.9  -88.9      1   0.00    303     28  557.4  557.5  557.4
   35.0  22785  -58.6  -88.9      1   0.00    305     29  559.0  559.1  559.0
   34.0  22967  -57.3  -88.7      1   0.00    315     23  567.2  567.2  567.2
   33.0  23155  -55.9  -88.5      1   0.00    285     10  575.7  575.8  575.7
   32.7  23213  -55.5  -88.5      1   0.00    281     10  578.3  578.4  578.3
   32.0  23350  -55.5  -88.2      1   0.01    270     10  581.9  582.0  581.9
   30.0  23760  -55.5  -87.5      1   0.01    255     12  592.7  592.8  592.8
   29.0  23975  -55.8  -87.6      1   0.01    280     14  597.7  597.8  597.7
   27.0  24430  -56.4  -87.8      1   0.01    260     19  608.3  608.4  608.3
   26.0  24670  -56.7  -88.0      1   0.01    270     25  614.0  614.1  614.0
   24.9  24944  -57.1  -88.1      1   0.01    281     17  620.6  620.6  620.6
   24.0  25180  -56.1  -87.9      1   0.01    290     10  629.9  630.0  629.9
   22.0  25738  -53.9  -87.3      1   0.01    305     12  652.5  652.6  652.5
   21.0  26036  -52.7  -87.1      1   0.01    240      6  664.9  665.0  664.9
   20.4  26222  -51.9  -86.9      1   0.01    204      7  672.7  672.9  672.7
   20.0  26350  -52.5  -86.5      1   0.01    180      8  674.7  674.8  674.7
   19.0  26680  -53.0  -86.7      1   0.01    255     12  683.1  683.2  683.1
   17.1  27359  -54.1  -87.1      1   0.01    260     15  700.5  700.6  700.5
   17.0  27397  -54.0  -87.1      1   0.01    260     16  701.9  702.0  701.9
   16.0  27791  -53.3  -86.9      1   0.01    235     16  716.7  716.8  716.7
   15.0  28210  -52.4  -86.6      1   0.01    250     19  732.7  732.9  732.7
   14.0  28659  -51.6  -86.4      1   0.02    245     25  750.3  750.5  750.3
   13.0  29140  -50.6  -86.1      1   0.02    265     27  769.6  769.8  769.6
   12.0  29660  -49.6  -85.8      1   0.02    225     14  791.0  791.2  791.0
   11.0  30226  -48.5  -85.5      1   0.02    245     17  814.9  815.2  814.9
   10.2  30721  -50.3  -86.3      1   0.02    237     24  826.0  826.3  826.0
   10.0  30850  -49.5  -85.5      1   0.03    235     25  833.7  834.0  833.7
    9.2  31400  -46.5  -84.5      1   0.03    263     28  865.2  865.7  865.2
    9.0  31545  -46.7  -84.6      1   0.03    270     29  869.9  870.4  869.9
    8.0  32323  -47.8  -85.1      1   0.04    270     27  895.2  895.7  895.3
#    7.6  32662  -48.3  -85.3      1   0.04                906.5  907.0  906.5
