#
#10410 EDZE Essen Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
 1003.0    147    8.6    6.4     86   6.04    255      2  281.5  298.3  282.5
 1000.0    171    9.6    6.4     80   6.06    300      4  282.8  299.7  283.8
  996.0    204    9.8    5.8     76   5.84    300      4  283.3  299.7  284.3
  983.0    314    9.6    2.6     62   4.72    299      5  284.1  297.6  284.9
  925.0    815    5.2    2.1     80   4.84    295      8  284.6  298.4  285.4
  898.0   1056    2.9    1.6     91   4.80    300     10  284.6  298.3  285.5
  879.0   1229    1.2    1.2    100   4.77    304     13  284.6  298.3  285.5
  866.0   1349    0.2    0.2    100   4.50    307     15  284.8  297.7  285.6
  865.0   1358    0.2   -2.1     85   3.81    307     15  284.9  295.9  285.6
  864.0   1368    0.6   -9.4     47   2.18    307     15  285.4  291.9  285.8
  861.0   1396    3.2  -12.8     30   1.67    308     16  288.4  293.6  288.7
  857.0   1434    3.4  -15.6     23   1.33    309     16  289.0  293.2  289.2
  850.0   1500    3.2  -16.8     21   1.21    310     17  289.5  293.3  289.7
  757.0   2428   -2.1  -23.1     18   0.79    322     16  293.5  296.1  293.6
  742.0   2587   -2.5  -17.5     31   1.31    324     16  294.7  298.9  295.0
  736.0   2651   -3.1  -11.1     54   2.24    325     16  294.8  301.7  295.2
  726.0   2759   -3.7  -13.7     46   1.84    326     16  295.3  301.1  295.6
  715.0   2880   -3.3  -19.3     28   1.17    328     16  297.0  300.8  297.2
  708.0   2957   -3.5  -28.5     12   0.52    329     16  297.6  299.4  297.7
  700.0   3047   -3.7  -23.7     20   0.81    330     16  298.4  301.1  298.5
  689.0   3172   -4.2  -13.3     49   2.01    335     16  299.1  305.5  299.5
  688.0   3184   -4.3  -12.3     54   2.17    335     16  299.2  306.1  299.6
  658.0   3535   -5.3  -24.3     21   0.82    326     19  301.9  304.6  302.0
  629.0   3887   -8.5  -14.5     62   1.99    317     23  302.1  308.5  302.5
  623.0   3960   -8.8  -15.6     58   1.83    315     23  302.6  308.5  302.9
  588.0   4404  -10.9  -22.3     39   1.10    335     27  305.2  308.9  305.4
  527.0   5244  -14.9  -34.9     16   0.38    335     36  310.1  311.5  310.2
  500.0   5640  -17.9  -27.9     41   0.78    335     41  311.1  313.9  311.3
  487.0   5836  -19.7  -26.7     54   0.89    336     42  311.3  314.4  311.5
  401.0   7252  -28.9  -53.9      7   0.06    340     54  317.1  317.4  317.1
  400.0   7270  -28.9  -52.9      8   0.07    340     54  317.4  317.6  317.4
  399.0   7288  -28.9  -52.9      8   0.07    340     54  317.6  317.9  317.6
  371.0   7801  -33.5  -45.5     29   0.18    339     56  318.1  318.8  318.2
  368.0   7858  -33.9  -39.9     55   0.32    339     57  318.3  319.6  318.4
  351.0   8186  -36.9  -40.0     73   0.34    338     58  318.6  319.9  318.7
  334.0   8527  -38.9  -45.9     47   0.19    337     59  320.4  321.2  320.5
  310.0   9031  -43.5  -47.9     62   0.16    336     61  320.9  321.6  320.9
  300.0   9250  -44.9  -50.9     51   0.12    335     62  322.0  322.4  322.0
  291.0   9454  -45.7  -57.7     25   0.05    337     64  323.6  323.9  323.6
  264.0  10096  -50.9  -56.9     49   0.07    342     69  325.2  325.4  325.2
  250.0  10450  -53.1  -60.1     42   0.05    345     72  327.0  327.2  327.0
  237.0  10790  -55.3  -61.8     44   0.04    340     80  328.8  328.9  328.8
  221.0  11235  -58.1  -64.1     46   0.03    337     77  331.0  331.2  331.0
  211.0  11525  -59.7  -66.7     40   0.02    335     76  332.9  333.0  332.9
  200.0  11860  -58.9  -70.9     20   0.01    335     60  339.3  339.4  339.3
  197.0  11955  -58.5  -72.2     16   0.01    330     60  341.4  341.4  341.4
  186.0  12317  -57.1  -77.1      6   0.01    330     62  349.4  349.4  349.4
  176.0  12667  -56.9  -78.7      5   0.00    330     64  355.2  355.3  355.2
  150.0  13680  -56.3  -83.3      2   0.00    325     49  372.9  372.9  372.9
  147.0  13809  -55.3  -83.3      2   0.00    324     46  376.8  376.8  376.8
  131.0  14539  -56.2  -84.2      2   0.00    320     29  387.8  387.8  387.8
  124.0  14887  -56.6  -84.6      2   0.00    315     39  393.1  393.1  393.1
  117.0  15255  -57.1  -85.1      2   0.00    325     33  398.9  398.9  398.9
  100.0  16250  -58.3  -86.3      2   0.00    315     29  414.8  414.8  414.8
   94.0  16637  -59.6  -87.0      2   0.00    340     23  419.6  419.6  419.6
   91.0  16839  -60.3  -87.3      2   0.00    315     17  422.2  422.2  422.2
   90.0  16908  -60.2  -87.3      2   0.00    300     19  423.7  423.7  423.7
   87.0  17120  -59.9  -87.4      2   0.00    310     17  428.4  428.4  428.4
   83.0  17415  -59.5  -87.6      1   0.00    290     27  435.1  435.1  435.1
   73.0  18217  -58.4  -88.0      1   0.00    325     19  453.7  453.7  453.7
   70.7  18418  -58.1  -88.1      1   0.00    321     18  458.4  458.4  458.4
   70.0  18480  -58.3  -88.3      1   0.00    320     17  459.3  459.3  459.3
   69.0  18570  -58.5  -88.4      1   0.00    305     17  460.8  460.8  460.8
   67.0  18754  -58.9  -88.7      1   0.00    290     19  463.8  463.8  463.8
   65.0  18943  -59.3  -89.0      1   0.00    310     25  466.9  466.9  466.9
   63.0  19138  -59.7  -89.2      1   0.00    325     21  470.2  470.2  470.2
   57.0  19764  -61.1  -90.1      1   0.00    334     18  480.7  480.8  480.7
   56.0  19874  -60.9  -90.0      1   0.00    335     17  483.6  483.6  483.6
   53.0  20217  -60.3  -89.9      1   0.00    350     12  492.6  492.6  492.6
   52.0  20336  -60.1  -89.8      1   0.00    315      6  495.8  495.8  495.8
   51.0  20457  -59.9  -89.8      1   0.00    280     10  499.0  499.1  499.0
   50.0  20580  -59.7  -89.7      1   0.00    285     17  502.4  502.4  502.4
   49.0  20707  -59.5  -89.6      1   0.00    285     17  505.6  505.6  505.6
   48.0  20836  -59.4  -89.6      1   0.00    320     23  509.0  509.0  509.0
   47.0  20969  -59.2  -89.5      1   0.00    325     23  512.4  512.5  512.4
   45.0  21242  -58.9  -89.4      1   0.00    350     16  519.6  519.6  519.6
   43.0  21527  -58.6  -89.2      1   0.00    320     14  527.2  527.3  527.2
   41.0  21826  -58.2  -89.1      1   0.00    340     16  535.4  535.4  535.4
   40.0  21981  -58.0  -89.0      1   0.00    290     12  539.6  539.6  539.6
   37.0  22471  -57.5  -88.8      1   0.00    295     14  553.3  553.3  553.3
   35.0  22820  -57.0  -88.6      1   0.00    275     17  563.2  563.2  563.2
   33.0  23189  -56.6  -88.4      1   0.00    305     23  573.9  574.0  573.9
   31.7  23442  -56.3  -88.3      1   0.01    313     18  581.3  581.4  581.3
   30.0  23790  -56.9  -88.9      1   0.00    325     10  588.9  589.0  588.9
   29.0  24004  -57.3  -89.0      1   0.00    335     14  593.6  593.7  593.6
   27.0  24456  -58.1  -89.2      1   0.01      0      0  603.6  603.6  603.6
   26.5  24575  -58.3  -89.3      1   0.01    323      5  606.2  606.3  606.2
   26.0  24695  -56.8  -88.8      1   0.01    285     10  613.8  613.8  613.8
   25.5  24819  -55.3  -88.3      1   0.01    263     11  621.5  621.5  621.5
   25.0  24945  -55.9  -88.9      1   0.01    240     12  623.3  623.4  623.3
   24.0  25206  -55.8  -88.8      1   0.01    250     12  631.0  631.0  631.0
   23.0  25477  -55.6  -88.7      1   0.01    275     10  639.1  639.1  639.1
   22.0  25761  -55.5  -88.5      1   0.01    250     10  647.6  647.7  647.6
   21.0  26058  -55.4  -88.4      1   0.01    290     25  656.7  656.8  656.7
   20.5  26212  -55.3  -88.3      1   0.01    300     19  661.5  661.6  661.5
   20.0  26370  -54.3  -88.3      1   0.01    310     12  669.2  669.3  669.2
   19.0  26701  -52.5  -86.9      1   0.01    275     12  684.8  685.0  684.8
#   18.0  27051  -50.5  -85.5      1   0.01                701.6  701.8  701.6
