#
#10771 ETGK Kuemmersbruck Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
# 1000.0    164                                                               
  970.0    418    8.6    8.1     97   7.03    300      4  284.2  303.9  285.4
  968.0    435    8.5    8.0     96   6.98    345     14  284.3  303.8  285.5
  967.0    444    8.4    7.9     96   6.95    350     16  284.3  303.8  285.5
  950.0    589    7.5    6.7     95   6.54    315     10  284.8  303.2  286.0
  925.0    809    6.2    5.0     92   5.94    320     14  285.6  302.5  286.7
  878.0   1234    3.4    0.0     79   4.38    330     12  287.0  299.7  287.7
  866.0   1346    2.6   -1.3     75   4.03    324     14  287.3  299.1  288.0
  850.0   1497    2.0   -0.9     81   4.23    315     17  288.2  300.6  289.0
  842.0   1573    1.6   -1.2     82   4.18    313     18  288.6  300.8  289.3
  799.0   1992   -2.2   -3.3     92   3.77    300     21  288.9  300.0  289.6
  787.0   2113   -3.3   -3.9     96   3.66    304     24  289.0  299.7  289.6
  784.0   2144   -0.9   -9.9     50   2.31    306     25  291.9  298.9  292.3
  783.0   2154   -0.5  -16.5     29   1.35    306     25  292.4  296.7  292.6
  781.0   2174   -0.3  -21.3     19   0.90    307     25  292.8  295.7  293.0
  778.0   2205   -0.5  -21.5     19   0.89    308     26  292.9  295.8  293.1
  772.0   2267   -1.0  -20.6     21   0.97    310     27  293.1  296.2  293.2
  765.0   2340   -1.5  -19.5     24   1.07    308     28  293.3  296.7  293.4
  753.0   2465   -2.5   -6.2     76   3.21    305     29  293.5  303.2  294.1
  736.0   2646   -3.7   -5.5     87   3.46    300     30  294.1  304.6  294.7
  707.0   2963   -5.5   -9.8     72   2.58    292     32  295.5  303.5  296.0
  700.0   3041   -5.9   -8.2     84   2.96    290     33  295.9  305.0  296.4
  673.0   3348   -8.1  -11.4     77   2.39    282     36  296.8  304.2  297.2
  667.0   3417   -8.5   -9.9     90   2.72    280     37  297.1  305.6  297.6
  664.0   3452   -8.7   -9.1     97   2.91    281     37  297.3  306.2  297.8
  649.0   3629  -10.1  -10.9     94   2.58    286     37  297.6  305.7  298.1
  634.0   3809  -10.7  -20.7     44   1.17    291     36  298.9  302.8  299.2
  627.0   3894  -10.7  -15.3     69   1.87    293     36  299.9  305.9  300.2
  615.0   4043  -11.1  -17.1     61   1.64    297     36  301.1  306.4  301.4
  579.0   4503  -14.7  -14.8     99   2.11    310     35  302.1  308.9  302.5
  564.0   4699  -15.8  -16.1     98   1.94    315     35  303.1  309.4  303.4
  502.0   5570  -20.7  -21.8     91   1.34    320     39  307.4  311.9  307.6
  500.0   5600  -20.7  -22.4     86   1.27    320     39  307.7  312.1  308.0
  479.0   5917  -22.3  -28.3     58   0.78    320     40  309.6  312.3  309.7
  444.0   6472  -25.9  -39.9     26   0.27    320     42  311.8  312.8  311.9
  429.0   6720  -27.9  -39.9     31   0.28    320     43  312.3  313.4  312.4
  423.0   6821  -28.7  -34.7     56   0.48    320     43  312.6  314.3  312.7
  400.0   7220  -31.7  -38.7     50   0.34    320     45  313.7  315.0  313.8
  380.0   7581  -34.5  -39.5     60   0.33    325     46  314.6  315.9  314.7
  378.0   7617  -34.8  -39.8     60   0.32    325     47  314.8  316.0  314.8
  335.0   8450  -41.1  -45.8     60   0.19    315     48  317.2  317.9  317.2
  300.0   9190  -47.3  -50.0     74   0.13    305     49  318.6  319.1  318.6
  299.0   9212  -47.5  -50.2     74   0.13    305     49  318.6  319.1  318.6
  278.0   9689  -52.1  -53.6     84   0.09    307     46  318.7  319.1  318.7
  268.0   9925  -53.9  -55.4     83   0.08    308     45  319.4  319.7  319.4
  255.0  10244  -55.3  -61.3     47   0.04    310     43  321.9  322.1  321.9
  250.0  10370  -55.5  -63.5     36   0.03    310     43  323.4  323.6  323.4
  240.0  10630  -54.9  -67.9     18   0.02    314     46  328.1  328.2  328.1
  211.0  11457  -53.5  -75.0      6   0.01    325     54  342.6  342.7  342.6
  200.0  11800  -52.9  -77.9      3   0.00    320     47  348.8  348.9  348.8
  195.0  11963  -53.1  -78.8      3   0.00    315     43  351.1  351.1  351.1
  151.0  13607  -54.9  -87.7      1   0.00    325     39  374.6  374.7  374.6
  150.0  13650  -54.9  -87.9      1   0.00    320     37  375.3  375.3  375.3
  139.0  14133  -55.3  -88.7      1   0.00    310     39  382.8  382.8  382.8
  109.0  15674  -56.6  -91.2      1   0.00    325     31  407.9  407.9  407.9
  105.0  15911  -56.8  -91.6      1   0.00    300     27  411.9  411.9  411.9
  100.0  16220  -57.1  -92.1      0   0.00    310     25  417.1  417.1  417.1
   92.0  16746  -57.6  -92.6      0   0.00    280     23  426.3  426.3  426.3
   85.0  17245  -58.0  -93.0      0   0.00    305     33  435.1  435.1  435.1
   77.0  17869  -58.6  -93.6      0   0.00    335     16  446.4  446.4  446.4
   72.0  18292  -58.9  -93.9      0   0.00    320     16  454.3  454.3  454.3
   70.0  18470  -59.1  -94.1      0   0.00    280     14  457.6  457.6  457.6
   69.0  18560  -59.1  -94.1      0   0.00    265     16  459.4  459.5  459.4
   66.0  18839  -59.2  -94.2      0   0.00    290     27  465.2  465.2  465.2
   63.0  19131  -59.2  -94.2      0   0.00    285     23  471.3  471.3  471.3
   57.0  19758  -59.3  -94.3      0   0.00    335     21  484.7  484.7  484.7
   53.0  20215  -59.4  -94.4      0   0.00    325      2  494.7  494.7  494.7
   50.0  20580  -59.5  -94.5      0   0.00    305      8  502.8  502.8  502.8
   48.4  20783  -60.9  -94.9      0   0.00    300      9  504.2  504.2  504.2
   47.0  20967  -60.1  -94.4      0   0.00    295     10  510.3  510.4  510.3
   45.0  21240  -58.9  -93.7      0   0.00    290     16  519.6  519.6  519.6
   43.0  21526  -57.7  -92.9      0   0.00    275     21  529.4  529.4  529.4
   41.0  21825  -56.4  -92.2      0   0.00    275     10  539.8  539.8  539.8
   39.9  21996  -55.7  -91.7      0   0.00    294      8  545.9  545.9  545.9
   39.0  22140  -56.2  -92.0      0   0.00    310      6  548.2  548.2  548.2
   38.0  22305  -56.8  -92.2      0   0.00    255     10  550.8  550.8  550.8
   37.0  22474  -57.3  -92.5      0   0.00    270     19  553.5  553.6  553.5
   36.4  22577  -57.7  -92.7      0   0.00    273     18  555.2  555.2  555.2
   36.0  22647  -57.6  -92.7      0   0.00    275     17  557.2  557.2  557.2
   33.0  23197  -56.9  -92.4      0   0.00    255      8  573.1  573.2  573.1
   32.0  23392  -56.6  -92.3      0   0.00    260     21  578.9  578.9  578.9
   30.0  23800  -56.1  -92.1      0   0.00    260     19  591.1  591.1  591.1
   29.0  24017  -56.0  -92.0      0   0.00    285     16  597.2  597.2  597.2
   28.0  24241  -55.8  -91.8      0   0.00    275     17  603.6  603.6  603.6
   27.0  24474  -55.7  -91.7      0   0.00    295     14  610.3  610.3  610.3
   26.0  24715  -55.6  -91.6      0   0.00    270     12  617.3  617.3  617.3
   25.0  24966  -55.4  -91.4      0   0.00    265     12  624.7  624.7  624.7
   24.0  25228  -55.3  -91.3      0   0.00    290     10  632.5  632.5  632.5
   23.0  25500  -55.1  -91.1      0   0.00    290     12  640.7  640.7  640.7
   22.0  25784  -54.9  -90.9      0   0.00    280      8  649.4  649.4  649.4
   21.8  25843  -54.9  -90.9      0   0.00    278      9  651.1  651.2  651.1
   20.9  26115  -52.3  -89.3      0   0.01    267     13  666.9  667.0  666.9
   20.0  26400  -52.9  -89.9      0   0.01    255     17  673.5  673.6  673.5
   19.0  26730  -54.2  -90.5      0   0.01    290     10  679.5  679.6  679.5
   18.6  26867  -54.7  -90.7      0   0.01    270      7  682.0  682.0  682.0
   18.0  27080  -54.0  -90.3      0   0.01    240      4  690.5  690.5  690.5
   16.0  27845  -51.7  -89.1      0   0.01    225     25  721.8  721.9  721.8
   14.0  28712  -49.0  -87.7      0   0.01    240     21  758.9  759.0  758.9
   13.5  28948  -48.3  -87.3      0   0.01    252     21  769.3  769.5  769.3
   13.0  29196  -48.6  -87.4      0   0.01    265     21  776.6  776.8  776.6
   12.0  29722  -49.2  -87.6      0   0.02    250     33  792.3  792.5  792.3
   11.3  30117  -49.7  -87.7      0   0.02    243     33  804.4  804.5  804.4
   11.0  30294  -49.4  -87.6      0   0.02    240     33  811.8  812.0  811.8
   10.0  30920  -48.1  -87.1      0   0.02    255     29  838.9  839.2  838.9
    9.0  31631  -46.2  -85.8      0   0.03    280     29  871.6  872.0  871.6
    8.0  32425  -44.2  -84.3      0   0.04    255     39  909.7  910.2  909.7
    7.0  33326  -41.9  -82.6      0   0.06    240     27  954.7  955.6  954.7
    6.0  34366  -39.1  -80.6      0   0.10    255     41 1009.3 1010.9 1009.4
    5.4  35077  -37.3  -79.3      0   0.14    258     36 1048.4 1050.6 1048.5
