#
#11952  Poprad-Ganovce Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
# 1000.0    106                                                               
  931.0    706    5.8    3.4     85   5.27      0      0  284.7  299.7  285.6
  925.0    752    5.4    3.1     85   5.20     70      4  284.8  299.6  285.7
  883.0   1130    2.9    1.8     93   4.97    275     10  286.0  300.3  286.9
  861.0   1335    1.5    1.1     98   4.85    280     14  286.6  300.6  287.5
  850.0   1439    0.8    0.8    100   4.79    285     12  287.0  300.8  287.8
  848.0   1458    0.7    0.7    100   4.77    285     12  287.1  300.8  287.9
  846.0   1477    0.6    0.6    100   4.75    285     11  287.1  300.8  288.0
  759.0   2337   -5.0   -5.5     97   3.37    265      4  290.1  300.1  290.7
  724.0   2712   -7.5   -8.1     95   2.88    277     15  291.3  300.0  291.8
  700.0   2974   -9.1  -22.1     34   0.94    285     23  292.4  295.4  292.5
  698.0   2996   -9.0  -23.3     30   0.84    285     23  292.7  295.4  292.8
  686.0   3130   -8.7  -30.7     15   0.43    289     25  294.5  296.0  294.6
  652.0   3518  -10.7  -32.7     15   0.38    300     31  296.6  297.9  296.6
  625.0   3841  -12.3  -34.3     14   0.34    295     37  298.3  299.5  298.4
  556.0   4733  -16.9  -38.9     13   0.24    291     38  303.0  303.9  303.1
  537.0   4991  -18.9  -42.2     11   0.18    290     39  303.7  304.4  303.8
  500.0   5520  -22.9  -48.9      7   0.09    290     33  305.1  305.4  305.1
  486.0   5727  -24.3  -51.2      6   0.07    295     33  305.8  306.1  305.8
  484.0   5757  -24.5  -51.5      6   0.07    295     33  305.9  306.2  305.9
  400.0   7110  -35.1  -52.1     16   0.08    300     37  309.3  309.6  309.3
  386.0   7358  -37.1  -53.1     17   0.07    299     38  309.8  310.1  309.8
  349.0   8042  -40.6  -55.8     18   0.06    295     41  314.1  314.4  314.1
  323.0   8568  -43.3  -57.9     18   0.05    300     60  317.4  317.6  317.4
  300.0   9070  -45.9  -59.9     19   0.04    300     62  320.6  320.7  320.6
  281.0   9501  -48.7  -58.7     30   0.05    300     64  322.6  322.8  322.6
  279.0   9548  -48.9  -61.9     21   0.03    300     64  322.9  323.1  322.9
  268.0   9810  -50.5  -59.5     34   0.05    300     59  324.4  324.6  324.4
  252.0  10208  -51.6  -65.3     18   0.02    300     51  328.4  328.5  328.4
  251.0  10234  -51.7  -65.7     17   0.02    300     49  328.7  328.8  328.7
  250.0  10260  -51.7  -65.7     17   0.02    300     49  329.1  329.2  329.1
  242.0  10471  -51.3  -67.7     12   0.02    290     52  332.7  332.8  332.7
  222.0  11032  -50.2  -73.2      5   0.01    300     47  342.7  342.7  342.7
  202.0  11645  -49.1  -79.1      2   0.00    282     29  353.9  353.9  353.9
  200.0  11710  -49.1  -79.1      2   0.00    280     27  354.9  354.9  354.9
  197.0  11808  -49.6  -79.5      2   0.00    275     25  355.5  355.6  355.5
  190.0  12042  -50.9  -80.6      2   0.00    290     29  357.2  357.2  357.2
  178.0  12464  -53.2  -82.6      2   0.00    280     23  360.1  360.1  360.1
  169.0  12799  -55.1  -84.1      2   0.00    285     29  362.4  362.4  362.4
  164.0  12993  -53.4  -83.8      1   0.00    295     35  368.3  368.3  368.3
  159.0  13193  -51.7  -83.5      1   0.00    300     31  374.5  374.5  374.5
  155.0  13357  -50.3  -83.3      1   0.00    287     31  379.6  379.6  379.6
  153.0  13441  -50.9  -83.9      1   0.00    280     31  379.9  380.0  379.9
  150.0  13570  -51.9  -84.9      1   0.00    285     29  380.4  380.4  380.4
  145.0  13790  -52.4  -85.2      1   0.00    290     19  383.2  383.2  383.2
  142.0  13925  -52.7  -85.4      1   0.00    270     16  385.0  385.0  385.0
  140.0  14017  -53.0  -85.5      1   0.00    245     17  386.1  386.2  386.1
  130.0  14497  -54.1  -86.1      1   0.00    269     24  392.4  392.4  392.4
  120.0  15010  -54.7  -86.7      1   0.00    295     31  400.3  400.4  400.3
  110.0  15569  -55.4  -87.4      1   0.00    275     17  409.2  409.2  409.2
  104.0  15928  -55.8  -87.8      1   0.00    280     16  415.0  415.0  415.0
