#
#12120  Leba Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
# 1007.0      6   10.2    5.2     71   5.54    300     16  282.8  298.4  283.7
 1000.0     58   10.0    3.0     62   4.77    310     21  283.1  296.7  284.0
  990.0    141    9.2    2.9     65   4.80    310     27  283.2  296.8  284.0
  925.0    698    3.8    2.5     91   4.98    305     31  283.2  297.3  284.0
  868.0   1211   -0.3   -0.3    100   4.33    305     35  284.1  296.5  284.9
  850.0   1379   -1.5   -1.5    100   4.05    305     37  284.6  296.2  285.3
  824.0   1623   -3.0   -3.0    100   3.74    305     41  285.5  296.4  286.2
  756.0   2301   -7.1   -7.1    100   2.98    325     37  288.2  297.1  288.7
  731.0   2565   -8.7   -8.7    100   2.72    323     38  289.2  297.4  289.7
  700.0   2900  -10.5  -11.6     92   2.26    320     39  290.8  297.7  291.2
  651.0   3453  -14.3  -16.9     81   1.58    315     39  292.6  297.6  292.9
  641.0   3571  -15.1  -18.0     78   1.46    317     37  293.0  297.6  293.3
  607.0   3979  -18.1  -19.2     92   1.39    325     31  294.1  298.5  294.4
  603.0   4029  -18.5  -19.3     93   1.38    325     31  294.2  298.6  294.5
  581.0   4305  -19.9  -31.9     34   0.46    327     33  295.8  297.3  295.8
  561.0   4564  -21.3  -26.0     66   0.82    329     35  297.1  299.8  297.2
  554.0   4656  -22.3  -29.3     53   0.61    330     36  297.0  299.0  297.1
  536.0   4897  -24.1  -24.9     93   0.95    331     37  297.6  300.8  297.8
  510.0   5258  -26.5  -31.3     64   0.55    334     40  299.0  300.9  299.1
  500.0   5400  -27.5  -31.5     69   0.55    335     41  299.4  301.4  299.6
  429.0   6487  -36.9  -40.4     70   0.26    349     38  300.9  301.8  300.9
  423.0   6584  -37.7  -38.6     91   0.32    350     38  301.1  302.2  301.1
  405.0   6885  -39.7  -43.8     65   0.20    354     37  302.2  303.0  302.3
  400.0   6970  -39.9  -46.9     47   0.14    355     37  303.1  303.6  303.1
  399.0   6987  -39.7  -49.7     34   0.10    356     37  303.5  303.9  303.6
  392.0   7108  -40.3  -50.7     32   0.09      0     35  304.3  304.7  304.3
  382.0   7284  -41.1  -52.1     29   0.08    353     40  305.5  305.8  305.5
  372.0   7462  -42.2  -52.8     30   0.08    345     45  306.3  306.6  306.3
  335.0   8164  -46.6  -55.7     35   0.06    355     51  309.6  309.8  309.6
  333.0   8204  -46.9  -55.9     35   0.06    355     51  309.8  310.0  309.8
  315.0   8574  -44.8  -66.8      7   0.02    340     35  317.7  317.7  317.7
  311.0   8659  -44.3  -69.3      5   0.01    336     36  319.5  319.6  319.5
  304.0   8811  -44.9  -68.0      6   0.01    330     39  320.7  320.8  320.7
  300.0   8900  -45.3  -67.3      7   0.01    330     39  321.4  321.5  321.4
  287.0   9194  -46.9  -66.9      8   0.02    334     34  323.2  323.3  323.2
  284.0   9264  -46.8  -67.5      8   0.02    335     33  324.3  324.3  324.3
  273.0   9526  -46.6  -69.5      6   0.01    320     33  328.3  328.3  328.3
  250.0  10110  -46.1  -74.1      3   0.01    335     29  337.4  337.4  337.4
  243.0  10299  -45.1  -76.1      2   0.01    335     28  341.6  341.7  341.6
  234.0  10549  -45.5  -76.6      2   0.00    335     27  344.8  344.8  344.8
  228.0  10721  -45.7  -77.0      2   0.00    315     19  347.0  347.0  347.0
  222.0  10898  -45.9  -77.4      2   0.00    305     23  349.3  349.3  349.3
  212.0  11204  -46.4  -78.1      2   0.00    310     31  353.3  353.3  353.3
  200.0  11590  -46.9  -78.9      1   0.00    320     29  358.3  358.4  358.3
  197.0  11690  -47.0  -79.0      1   0.00    325     29  359.7  359.7  359.7
  190.0  11929  -47.3  -79.3      1   0.00    305     25  363.1  363.1  363.1
  175.0  12473  -47.8  -79.8      1   0.00    330     23  370.7  370.8  370.7
  166.0  12822  -48.2  -80.2      1   0.00    315     19  375.8  375.8  375.8
  161.0  13024  -48.4  -80.4      1   0.00    330     19  378.7  378.7  378.7
  159.0  13106  -48.5  -80.5      1   0.00    329     17  379.9  379.9  379.9
  158.0  13148  -48.1  -81.1      1   0.00    328     16  381.3  381.3  381.3
  153.0  13360  -48.8  -81.2      1   0.00    325     10  383.5  383.5  383.5
  150.0  13490  -49.3  -81.3      1   0.00    310     12  384.9  384.9  384.9
  147.0  13621  -49.8  -81.5      1   0.00    300     14  386.4  386.4  386.4
  141.0  13892  -50.7  -81.9      1   0.00    315     14  389.3  389.3  389.3
  134.0  14223  -51.9  -82.4      1   0.00    275     14  393.0  393.0  393.0
  129.0  14470  -52.7  -82.8      1   0.00    270     17  395.7  395.7  395.7
  128.0  14521  -52.9  -82.9      1   0.00    280     19  396.3  396.3  396.3
  118.0  15044  -53.1  -83.4      1   0.00    300     23  405.2  405.2  405.2
  112.0  15380  -53.2  -83.8      1   0.00    325     19  411.1  411.1  411.1
  100.0  16110  -53.5  -84.5      1   0.00    295     10  424.1  424.1  424.1
