#
#12374  Legionowo Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
# 1000.0     85                                                               
  999.0     96    4.4    4.1     98   5.16    230      6  277.6  291.9  278.5
  998.0    104    4.0    4.0    100   5.13    233      7  277.3  291.4  278.2
  986.0    203    4.5    3.2     91   4.92    265     16  278.8  292.5  279.6
  972.0    319    5.2    2.3     82   4.68    285     21  280.6  293.7  281.4
  967.0    361    5.4    2.0     79   4.59    290     20  281.2  294.2  282.0
  961.0    411    5.1    1.5     78   4.46    295     19  281.4  294.0  282.1
  925.0    721    3.0   -1.5     72   3.72    295     19  282.4  293.0  283.0
  892.0   1014    0.8   -3.9     71   3.23    293     20  283.0  292.4  283.6
  852.0   1380   -2.1   -5.2     79   3.06    290     21  283.7  292.6  284.3
  850.0   1399   -2.1   -5.7     76   2.95    290     21  283.9  292.6  284.4
  833.0   1559   -3.3   -7.5     73   2.62    289     22  284.3  292.0  284.8
  806.0   1820   -3.9  -15.9     39   1.38    289     24  286.4  290.6  286.6
  754.0   2343   -7.3  -20.3     35   1.02    287     27  288.2  291.4  288.4
  750.0   2384   -7.7  -19.7     38   1.08    287     28  288.2  291.6  288.4
  744.0   2447   -8.3  -10.7     83   2.28    287     28  288.2  295.1  288.6
  737.0   2520   -8.7  -13.1     70   1.90    286     29  288.5  294.4  288.9
  733.0   2562   -8.7  -19.7     41   1.10    286     29  289.0  292.5  289.2
  721.0   2690   -9.3  -23.3     31   0.82    286     30  289.7  292.3  289.8
  700.0   2918  -10.3  -29.3     19   0.49    285     31  291.1  292.7  291.1
  678.0   3164  -11.3  -39.3      8   0.19    285     31  292.6  293.3  292.6
  568.0   4495  -22.3  -40.3     18   0.20    285     33  294.9  295.6  294.9
  566.0   4521  -22.5  -39.2     20   0.23    285     33  294.9  295.7  294.9
  556.0   4652  -23.7  -33.7     39   0.40    286     33  295.0  296.4  295.1
  500.0   5420  -29.7  -40.7     34   0.22    290     35  296.8  297.6  296.8
  495.0   5492  -30.3  -41.3     33   0.21    288     35  296.9  297.6  296.9
  447.0   6210  -34.9  -43.9     39   0.17    270     35  299.9  300.5  299.9
  432.0   6447  -36.1  -50.1     22   0.09    264     35  301.3  301.6  301.3
  412.0   6776  -36.7  -57.7     10   0.04    256     35  304.6  304.8  304.6
  410.0   6810  -36.9  -57.9      9   0.04    255     35  304.8  304.9  304.8
  400.0   6980  -37.9  -58.9      9   0.03    255     37  305.6  305.8  305.7
  334.0   8202  -41.8  -64.0      7   0.02    250     47  316.5  316.6  316.5
  300.0   8930  -44.1  -67.1      6   0.02    245     45  323.1  323.2  323.1
  285.0   9272  -45.1  -72.1      3   0.01    240     39  326.4  326.5  326.4
  271.0   9606  -46.5  -71.2      4   0.01    235     33  329.2  329.2  329.2
  261.0   9855  -47.5  -70.5      5   0.01    250     37  331.2  331.3  331.2
  257.0   9957  -47.0  -71.8      4   0.01    255     35  333.4  333.5  333.4
  250.0  10140  -46.1  -74.1      3   0.01    250     27  337.4  337.4  337.4
  244.0  10302  -45.5  -75.5      2   0.01    240     26  340.6  340.7  340.6
  238.0  10467  -45.8  -75.9      2   0.01    230     25  342.7  342.7  342.7
  227.0  10780  -46.3  -76.7      2   0.00    265     27  346.5  346.6  346.5
  222.0  10928  -46.5  -77.0      2   0.00    255     23  348.4  348.4  348.4
  219.0  11018  -46.7  -77.2      2   0.00    245     25  349.5  349.5  349.5
  200.0  11620  -47.7  -78.7      2   0.00    275     31  357.1  357.1  357.1
  196.0  11753  -47.9  -79.0      2   0.00    285     27  358.9  358.9  358.9
  186.0  12097  -48.4  -79.6      1   0.00    265     12  363.5  363.5  363.5
  183.0  12204  -48.5  -79.8      1   0.00    260     16  364.9  365.0  364.9
  169.0  12726  -49.2  -80.8      1   0.00    270     19  372.1  372.2  372.1
  163.0  12964  -49.5  -81.3      1   0.00    245     16  375.5  375.5  375.5
  154.0  13337  -50.1  -82.0      1   0.00    270     27  380.7  380.7  380.7
  150.0  13510  -50.3  -82.3      1   0.00    265     17  383.2  383.2  383.2
  147.0  13641  -50.5  -82.5      1   0.00    250     14  385.1  385.1  385.1
  141.0  13910  -50.9  -82.8      1   0.00    265     12  389.0  389.0  389.0
  139.0  14002  -51.0  -82.9      1   0.00    245     10  390.3  390.3  390.3
  137.0  14096  -51.2  -83.0      1   0.00    230     12  391.7  391.7  391.7
  120.0  14952  -52.5  -84.0      1   0.00    260     25  404.4  404.4  404.4
