#
#12843  Budapest Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
# 1000.0    118                                                               
  997.0    139   10.8    7.5     80   6.56    290      8  284.2  302.6  285.3
  936.0    667    8.1    5.8     85   6.22    320     29  286.6  304.3  287.7
  925.0    766    7.6    5.5     87   6.16    325     29  287.1  304.6  288.1
  882.0   1156    5.6    2.8     82   5.33    330     23  288.9  304.3  289.8
  850.0   1458    4.0    0.7     79   4.76    315     25  290.3  304.2  291.2
  842.0   1535    3.7    0.1     78   4.62    315     25  290.8  304.3  291.6
  762.0   2342    0.4   -5.6     64   3.32    319     31  295.6  305.8  296.2
  730.0   2683   -2.5   -6.6     73   3.21    320     33  296.1  306.0  296.7
  702.0   2995   -5.1   -7.5     83   3.11    320     26  296.6  306.1  297.1
  700.0   3017   -5.1   -7.6     83   3.10    320     25  296.8  306.3  297.4
  643.0   3680   -9.3  -14.3     67   1.98    313     24  299.3  305.6  299.7
  581.0   4454  -16.3  -17.1     94   1.73    306     23  300.0  305.5  300.3
  576.0   4518  -16.8  -17.5     94   1.69    305     23  300.2  305.6  300.5
  559.0   4743  -18.3  -18.9     95   1.55    296     30  300.9  305.9  301.2
  557.0   4770  -18.4  -19.4     92   1.49    295     31  301.1  305.9  301.4
  543.0   4960  -19.1  -23.0     71   1.11    299     32  302.5  306.2  302.7
  542.0   4973  -19.3  -24.3     65   0.99    299     32  302.4  305.7  302.6
  540.0   5001  -18.7  -37.7     17   0.28    299     32  303.4  304.4  303.5
  536.0   5056  -18.7  -27.7     45   0.74    300     32  304.1  306.6  304.2
  522.0   5253  -20.5  -25.5     64   0.93    304     32  304.2  307.4  304.4
  500.0   5570  -23.3  -29.3     58   0.68    310     33  304.6  306.9  304.7
  490.0   5718  -24.7  -30.7     57   0.61    310     36  304.6  306.7  304.7
  487.0   5762  -24.3  -42.3     17   0.19    310     37  305.6  306.4  305.7
  472.0   5990  -24.9  -46.9     11   0.12    310     43  307.6  308.1  307.7
  456.0   6240  -25.8  -50.0      8   0.09    310     49  309.6  309.9  309.6
  437.0   6548  -26.9  -53.9      6   0.06    310     49  312.0  312.2  312.0
  400.0   7180  -31.7  -47.7     19   0.13    310     49  313.7  314.2  313.7
  373.0   7669  -35.3  -55.3     11   0.06    309     51  315.3  315.5  315.3
  369.0   7744  -35.9  -42.9     49   0.24    309     51  315.4  316.3  315.5
  362.0   7876  -36.9  -42.9     54   0.24    308     52  315.8  316.8  315.9
  352.0   8069  -38.3  -43.3     59   0.24    308     53  316.5  317.4  316.5
  346.0   8187  -38.9  -43.1     64   0.25    307     53  317.2  318.2  317.3
  328.0   8551  -40.7  -50.7     33   0.11    307     55  319.6  320.1  319.6
  307.0   8996  -44.7  -48.6     65   0.15    305     58  320.1  320.7  320.2
  300.0   9150  -45.7  -51.7     51   0.11    305     58  320.8  321.3  320.9
  293.0   9307  -46.9  -54.9     40   0.08    305     60  321.3  321.6  321.3
  279.0   9630  -49.5  -54.5     56   0.08    305     63  322.1  322.4  322.1
  261.0  10064  -53.3  -59.3     48   0.05    305     67  322.7  322.9  322.7
  256.0  10188  -54.2  -59.6     51   0.05    305     68  323.2  323.4  323.2
  252.0  10289  -54.9  -59.9     54   0.05    305     64  323.6  323.8  323.6
  250.0  10340  -55.1  -62.1     41   0.04    305     62  324.0  324.2  324.0
  242.0  10547  -55.7  -62.7     41   0.03    300     60  326.1  326.3  326.1
  217.0  11239  -55.1  -81.1      3   0.00    303     48  337.4  337.4  337.4
  200.0  11760  -53.3  -77.3      4   0.01    305     39  348.2  348.2  348.2
  199.0  11792  -53.2  -77.4      4   0.01    305     39  348.9  348.9  348.9
  188.0  12159  -52.1  -78.1      3   0.00    289     27  356.4  356.4  356.4
  185.0  12263  -52.3  -78.5      3   0.00    285     23  357.6  357.6  357.6
  177.0  12547  -53.0  -79.6      3   0.00    285     39  361.1  361.1  361.1
  163.0  13077  -54.2  -81.7      2   0.00    275     37  367.7  367.7  367.7
  157.0  13318  -54.7  -82.7      2   0.00    282     37  370.8  370.8  370.8
  150.0  13610  -54.5  -83.5      2   0.00    290     37  376.0  376.0  376.0
  147.0  13740  -54.3  -83.5      2   0.00    295     41  378.6  378.6  378.6
  134.0  14334  -53.2  -83.5      1   0.00    285     31  390.6  390.6  390.6
  128.0  14628  -52.7  -83.5      1   0.00    300     31  396.7  396.7  396.7
  126.0  14729  -52.5  -83.5      1   0.00    292     28  398.8  398.8  398.8
  123.0  14883  -53.2  -83.9      1   0.00    280     23  400.2  400.3  400.2
  117.0  15202  -54.7  -84.8      1   0.00    305     21  403.3  403.3  403.3
  113.0  15424  -55.7  -85.4      1   0.00    295     23  405.4  405.4  405.4
  107.0  15772  -57.3  -86.3      1   0.00    315     17  408.8  408.8  408.8
  106.0  15831  -57.1  -86.2      1   0.00    315     16  410.3  410.3  410.3
  104.0  15952  -56.6  -86.0      1   0.00    290     14  413.4  413.4  413.4
