#
#12982 LHUD Szeged Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
 1005.0     83    9.4    6.6     83   6.12    260      6  282.1  299.2  283.2
 1000.0    127   10.6    6.4     75   6.06    275     10  283.8  300.8  284.8
  985.0    253   12.0    7.0     71   6.42    294     18  286.4  304.6  287.5
  980.0    296   11.8    6.5     70   6.22    300     21  286.6  304.2  287.6
  968.0    399   11.2    5.2     67   5.76    307     23  287.0  303.5  288.0
  945.0    599    9.9    4.6     69   5.64    320     27  287.7  303.9  288.7
  925.0    777    8.8    4.0     72   5.54    325     27  288.3  304.3  289.3
  911.0    902    7.9    3.3     73   5.35    325     27  288.7  304.1  289.6
  850.0   1471    4.0    0.1     76   4.56    320     23  290.3  303.7  291.1
  786.0   2097   -0.3   -3.6     79   3.76    315     27  292.2  303.5  292.9
  721.0   2787   -5.1   -7.6     83   3.01    324     22  294.3  303.5  294.9
  715.0   2853   -5.3   -8.1     80   2.91    325     21  294.8  303.7  295.4
  700.0   3019   -5.7   -9.5     75   2.67    330     19  296.1  304.4  296.6
  651.0   3584   -8.7  -15.7     57   1.74    318     24  299.0  304.5  299.3
  619.0   3973  -11.3  -16.3     67   1.74    310     27  300.3  305.9  300.6
  601.0   4198  -12.3  -23.4     39   0.97    305     29  301.7  304.9  301.8
  585.0   4404  -13.3  -29.8     24   0.55    310     31  302.9  304.8  303.0
  578.0   4496  -13.7  -32.7     19   0.43    310     32  303.4  304.9  303.5
  513.0   5390  -20.1  -22.2     83   1.26    310     38  306.2  310.5  306.4
  500.0   5580  -20.9  -24.4     73   1.07    310     39  307.5  311.1  307.7
  433.0   6632  -26.7  -49.7      9   0.09    310     44  313.0  313.4  313.1
  404.0   7129  -30.2  -48.8     15   0.11    310     47  314.8  315.2  314.8
  400.0   7200  -30.7  -48.7     15   0.11    310     47  315.0  315.5  315.0
  353.0   8075  -36.5  -44.5     43   0.21    312     47  318.6  319.5  318.7
  326.0   8621  -40.5  -49.5     37   0.13    314     48  320.5  321.0  320.5
  300.0   9180  -45.3  -53.3     40   0.09    315     49  321.4  321.8  321.4
  293.0   9338  -46.5  -54.5     40   0.08    313     50  321.9  322.2  321.9
  260.0  10123  -52.5  -60.5     37   0.04    305     58  324.2  324.4  324.2
  250.0  10380  -54.5  -62.5     37   0.03    310     56  324.9  325.1  324.9
  226.0  11023  -56.3  -65.3     31   0.03    305     43  331.7  331.8  331.7
  221.0  11165  -55.5  -64.5     32   0.03    293     43  335.0  335.2  335.0
  220.0  11194  -55.5  -64.6     31   0.03    290     43  335.4  335.6  335.4
  204.0  11674  -55.8  -66.5     25   0.02    300     39  342.2  342.4  342.2
  201.0  11768  -55.9  -66.9     24   0.02    296     40  343.6  343.7  343.6
  200.0  11800  -55.9  -66.9     24   0.02    295     41  344.1  344.2  344.1
  186.0  12263  -54.7  -67.2     20   0.02    300     35  353.2  353.3  353.2
  181.0  12437  -54.3  -67.3     19   0.02    285     35  356.6  356.8  356.6
  177.0  12580  -54.7  -67.7     19   0.02    280     43  358.3  358.4  358.3
  170.0  12838  -54.3  -68.3     16   0.02    277     39  363.1  363.2  363.1
  165.0  13029  -54.7  -69.4     15   0.02    275     37  365.5  365.6  365.5
  163.0  13107  -54.9  -69.9     14   0.02    279     36  366.5  366.6  366.5
  150.0  13640  -53.3  -70.3     11   0.02    305     33  378.0  378.1  378.0
  149.0  13683  -53.2  -70.2     11   0.02    310     33  378.9  379.0  378.9
  148.0  13726  -53.1  -70.1     11   0.02    307     32  379.8  379.9  379.8
  141.0  14037  -53.6  -71.5     10   0.02    285     23  384.2  384.3  384.2
  137.0  14221  -54.0  -72.3      9   0.02    260     29  386.8  386.9  386.8
  124.0  14861  -55.1  -75.1      7   0.01    288     32  395.9  396.0  395.9
  120.0  15070  -54.7  -74.7      7   0.01    298     33  400.4  400.4  400.4
  119.0  15123  -54.9  -75.2      6   0.01    300     33  400.9  401.0  400.9
  117.0  15232  -55.3  -76.3      6   0.01    302     29  402.1  402.2  402.1
  116.0  15286  -55.1  -76.1      6   0.01    302     26  403.5  403.6  403.5
  113.0  15454  -54.5  -75.5      6   0.01    305     19  407.7  407.7  407.7
  110.0  15625  -55.2  -76.2      6   0.01    305     14  409.5  409.6  409.5
  104.0  15981  -56.7  -77.7      5   0.01    275     21  413.3  413.4  413.3
  100.0  16230  -57.7  -78.7      5   0.01    290     21  416.0  416.0  416.0
#   95.9  16493  -58.7                         275     25  419.0         419.0
#   84.1  17318  -57.7                         299     19  437.1         437.1
#   79.0  17710  -58.5                         310     16  443.2         443.2
#   75.8  17970  -59.1                         301     17  447.3         447.3
#   70.0  18470  -56.9                         285     19  462.3         462.3
#   67.9  18663  -55.9                         282     19  468.5         468.5
#   62.7  19168  -58.3                         275     18  474.0         474.0
#   50.4  20549  -56.1                         256     16  509.7         509.7
#   50.0  20600  -56.1                         255     16  510.8         510.8
#   46.0  21127  -57.0                         240     14  521.1         521.1
#   44.5  21337  -57.3                         233     15  525.2         525.2
#   44.0  21409  -57.0                         230     16  527.7         527.7
#   42.0  21705  -55.6                         280     25  538.2         538.2
#   40.2  21983  -54.3                         287     17  548.2         548.2
#   38.0  22342  -54.7                         295      6  556.0         556.0
#   37.0  22512  -54.9                         205      4  559.8         559.8
