#13275  Beograd Observations at 00Z 09 Oct 2017
#
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
  992.0    203   11.0    8.6     85   7.11    240      2  284.8  304.8  286.0
  983.0    279   10.8    7.3     79   6.56    250      4  285.3  303.9  286.5
  978.0    322   12.0    6.0     67   6.03    256      5  287.0  304.2  288.0
  951.0    556   10.8    3.8     62   5.31    288     11  288.1  303.4  289.0
  925.0    787    8.8    2.8     66   5.09    320     17  288.3  303.0  289.2
  870.0   1289    4.6    1.8     82   5.04    335     23  289.0  303.6  289.9
  858.0   1403    3.6    1.6     87   5.03    329     23  289.1  303.7  290.0
  850.0   1479    3.4    1.0     84   4.86    325     23  289.7  303.9  290.6
  796.0   2008   -0.5   -2.7     85   3.96    319     33  291.0  302.7  291.7
  764.0   2333   -2.3   -4.4     85   3.62    315     39  292.5  303.4  293.2
  700.0   3026   -6.1   -8.1     86   2.98    300     31  295.7  304.8  296.2
  668.0   3391   -8.5  -11.8     77   2.33    302     31  297.0  304.3  297.4
  644.0   3674  -10.3  -11.1     94   2.56    304     31  298.1  306.1  298.5
  619.0   3979  -10.1  -23.1     34   0.97    305     30  301.7  304.9  301.9
  582.0   4452  -12.9  -21.9     47   1.14    308     30  303.8  307.6  304.0
  565.0   4678  -12.5  -30.5     21   0.54    310     30  306.8  308.7  306.9
  544.0   4966  -14.1  -22.1     51   1.20    311     30  308.3  312.4  308.5
  500.0   5600  -19.1  -29.1     41   0.69    315     29  309.7  312.1  309.8
  475.0   5980  -21.7  -35.7     27   0.39    311     29  311.1  312.5  311.1
  438.0   6566  -26.3  -38.2     32   0.32    305     29  312.5  313.8  312.6
  405.0   7132  -30.7  -40.7     37   0.27    309     39  313.9  314.9  313.9
  400.0   7220  -31.1  -41.1     37   0.26    310     41  314.5  315.5  314.5
  386.0   7468  -32.6  -43.0     35   0.22    310     47  315.7  316.6  315.8
  324.0   8689  -40.1  -52.1     27   0.10    317     47  321.6  322.0  321.6
  300.0   9210  -44.3  -56.3     25   0.06    320     47  322.8  323.1  322.8
  250.0  10410  -53.1  -64.1     25   0.03    310     52  327.0  327.1  327.0
  246.0  10514  -53.9  -63.9     28   0.03    312     53  327.3  327.4  327.3
  241.0  10644  -54.4  -64.4     28   0.03    315     54  328.5  328.6  328.5
  226.0  11053  -55.9  -65.9     28   0.02    305     39  332.3  332.4  332.4
  216.0  11341  -56.9  -66.9     27   0.02    295     45  335.1  335.1  335.1
  200.0  11830  -55.1  -67.1     21   0.02    290     43  345.4  345.5  345.4
  198.0  11894  -54.5  -68.5     16   0.02    289     43  347.3  347.4  347.3
  185.0  12328  -55.3  -71.3     12   0.01    283     47  352.8  352.9  352.8
  178.0  12575  -55.1  -72.7      9   0.01    280     49  357.1  357.1  357.1
  153.0  13543  -54.2  -78.4      4   0.01    310     31  374.3  374.4  374.3
  150.0  13670  -54.1  -79.1      3   0.01    305     25  376.7  376.7  376.7
  142.0  14021  -54.2  -80.5      3   0.00    290     17  382.5  382.5  382.5
  128.0  14686  -54.3  -83.1      2   0.00    280     43  393.8  393.8  393.8
  127.0  14736  -54.3  -83.3      2   0.00    280     41  394.6  394.7  394.6
  120.0  15095  -55.4  -84.6      1   0.00    280     25  399.1  399.1  399.1
  107.0  15822  -57.6  -87.3      1   0.00    305     23  408.2  408.2  408.2
  101.0  16188  -58.7  -88.7      1   0.00    288     23  412.9  412.9  412.9
  100.0  16250  -58.5  -88.5      1   0.00    285     23  414.4  414.4  414.4
   97.0  16440  -58.6  -88.6      1   0.00    280     25  417.9  417.9  417.9
   78.0  17801  -59.3  -89.3      1   0.00    280     27  443.3  443.3  443.3
   77.3  17858  -59.3  -89.3      1   0.00    281     26  444.4  444.4  444.4
   70.0  18480  -56.3  -87.3      1   0.00    295     14  463.6  463.6  463.6
   69.7  18507  -55.9  -86.9      1   0.00    292     13  465.0  465.0  465.0
   66.0  18852  -57.6  -88.0      1   0.00    255      6  468.6  468.6  468.6
   63.4  19107  -58.9  -88.9      1   0.00    255      8  471.2  471.2  471.2
   56.9  19791  -56.3  -87.3      1   0.00    255     15  491.9  491.9  491.9
   50.0  20610  -57.7  -87.7      1   0.00    255     23  507.1  507.1  507.1
   47.0  21001  -57.4  -87.4      1   0.00    265     29  516.9  516.9  516.9
   46.3  21096  -57.3  -87.3      1   0.00    263     23  519.3  519.3  519.3
   45.0  21278  -56.5  -86.9      1   0.00    260     12  525.6  525.6  525.6
   40.2  21998  -53.1  -85.1      1   0.01    242     10  551.2  551.3  551.2
   36.0  22705  -56.1  -87.1      1   0.01    225      8  561.1  561.2  561.1
   33.0  23261  -55.1  -86.2      1   0.01    200     23  577.8  577.8  577.8
   30.0  23870  -54.1  -85.1      1   0.01    245     23  596.6  596.6  596.6
   28.0  24315  -53.5  -84.8      1   0.01    245     33  610.2  610.3  610.2
   24.2  25256  -52.1  -84.1      1   0.01    257     26  640.1  640.2  640.1
   22.0  25873  -52.2  -84.2      1   0.02    265     21  657.5  657.6  657.5
   20.0  26490  -52.3  -84.3      1   0.02    270     35  675.3  675.5  675.3
   18.0  27170  -52.7  -84.7      1   0.02    235     21  694.8  695.0  694.8
   16.8  27616  -52.9  -84.9      1   0.02    242     27  707.9  708.1  707.9
   14.0  28811  -48.5  -81.7      1   0.04    260     43  760.8  761.2  760.8
   12.4  29606  -45.5  -79.5      1   0.06    263     39  798.0  798.7  798.0
   11.0  30406  -45.1  -79.1      1   0.07    265     35  827.3  828.1  827.3
   10.4  30780  -44.9  -78.9      1   0.08    262     42  841.3  842.3  841.4
#   10.0                                       260     47                     
