#
#15420 LRBS Bucuresti Inmh-Banesa Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
 1002.0     91    7.6    5.7     88   5.76    270      2  280.6  296.6  281.6
 1000.0    110    8.2    5.6     84   5.73    270      8  281.4  297.3  282.3
  977.0    304   11.2    3.2     58   4.95    276     13  286.2  300.5  287.1
  964.0    416   11.2    2.2     54   4.67    280     16  287.3  300.9  288.2
  929.0    724    8.9    1.7     61   4.67    290     23  288.0  301.6  288.8
  925.0    760    8.6    1.6     61   4.67    290     23  288.1  301.6  288.9
  874.0   1227    4.8    0.4     73   4.53    285     23  288.9  302.1  289.6
  870.0   1264    4.7    0.0     72   4.43    285     23  289.1  302.1  289.9
  850.0   1454    4.2   -1.8     65   3.96    300     17  290.5  302.2  291.2
  834.0   1608    3.4   -2.2     67   3.93    320     16  291.3  302.9  292.0
  796.0   1985    1.5   -3.0     72   3.86    300     14  293.1  304.7  293.8
  770.0   2253    0.1   -3.6     76   3.81    320     19  294.4  305.9  295.1
  768.0   2274    0.0   -3.7     76   3.81    320     19  294.6  306.0  295.2
  700.0   3013   -3.5   -7.3     75   3.17    310     21  298.6  308.4  299.1
  654.0   3544   -7.3   -9.1     87   2.95    295     27  300.1  309.3  300.6
  623.0   3924  -10.1  -10.4     98   2.79    295     30  301.1  309.9  301.6
  607.0   4121  -11.2  -11.9     95   2.55    295     31  302.1  310.1  302.5
  504.0   5531  -19.5  -22.3     78   1.28    285     33  308.5  312.8  308.7
  500.0   5590  -19.7  -23.3     73   1.18    285     33  309.0  313.0  309.2
  499.0   5605  -19.7  -23.5     72   1.16    285     33  309.1  313.1  309.3
  480.0   5892  -20.1  -28.1     49   0.79    269     30  312.1  314.9  312.2
  476.0   5952  -20.6  -28.6     49   0.76    265     29  312.2  315.0  312.4
  432.0   6654  -26.1  -34.1     47   0.50    280     31  314.0  315.8  314.1
  404.0   7139  -29.9  -37.9     46   0.36    267     29  315.1  316.5  315.2
  400.0   7210  -30.5  -38.5     45   0.35    265     29  315.3  316.6  315.3
  342.0   8300  -40.1  -44.0     66   0.23    251     32  316.6  317.5  316.7
  324.0   8667  -42.9  -49.9     46   0.12    246     34  317.7  318.2  317.7
  304.0   9092  -46.9  -51.9     56   0.10    240     35  317.9  318.4  318.0
  303.0   9114  -47.0  -52.0     56   0.10    240     35  318.1  318.5  318.1
  300.0   9180  -47.3  -52.3     56   0.10    240     35  318.6  319.0  318.6
  299.0   9202  -47.7  -52.2     60   0.10    241     35  318.3  318.7  318.3
  285.0   9518  -49.1  -60.1     27   0.04    250     33  320.7  320.9  320.7
  274.0   9775  -50.9  -60.9     29   0.04    257     32  321.7  321.9  321.7
  250.0  10370  -52.1  -66.1     17   0.02    275     29  328.5  328.6  328.5
  248.0  10422  -52.4  -66.4     17   0.02    280     27  328.8  328.9  328.8
  246.0  10475  -52.7  -66.7     17   0.02    280     25  329.1  329.2  329.1
  234.0  10802  -51.8  -70.3      9   0.01    270     23  335.2  335.3  335.2
  224.0  11087  -51.0  -73.5      5   0.01    275     27  340.6  340.7  340.6
  215.0  11355  -50.2  -76.5      3   0.01    245     31  345.8  345.9  345.8
  211.0  11478  -49.9  -77.9      2   0.00    250     32  348.2  348.2  348.2
  204.0  11700  -50.3  -79.5      2   0.00    260     33  351.0  351.0  351.0
  200.0  11830  -50.5  -80.5      2   0.00    250     33  352.6  352.6  352.6
  191.0  12126  -51.2  -81.0      2   0.00    240     41  356.2  356.2  356.2
  157.0  13387  -54.0  -83.2      2   0.00    260     33  371.9  371.9  371.9
  150.0  13680  -54.7  -83.7      2   0.00    245     25  375.6  375.6  375.6
  142.0  14030  -55.0  -84.3      1   0.00    235     29  381.0  381.0  381.0
  133.0  14449  -55.4  -85.1      1   0.00    250     31  387.5  387.5  387.5
  130.0  14595  -55.5  -85.4      1   0.00    260     37  389.8  389.8  389.8
  127.0  14744  -55.7  -85.7      1   0.00    280     35  392.1  392.2  392.1
  112.0  15547  -56.4  -87.2      1   0.00    265     17  405.1  405.1  405.1
  107.0  15839  -56.7  -87.7      1   0.00    255     19  409.9  409.9  409.9
  100.0  16270  -56.3  -87.3      1   0.00    240     21  418.7  418.7  418.7
   93.0  16726  -59.0  -89.1      1   0.00    255     21  422.1  422.1  422.1
   92.3  16774  -59.3  -89.3      1   0.00    255     19  422.4  422.4  422.4
   90.0  16932  -59.1  -89.3      1   0.00    240     16  426.0  426.0  426.0
   86.0  17217  -58.6  -89.4      1   0.00    255     10  432.4  432.4  432.4
   84.0  17365  -58.4  -89.4      1   0.00    230      6  435.8  435.8  435.8
   82.0  17517  -58.2  -89.5      1   0.00    195     12  439.2  439.2  439.2
   77.0  17912  -57.6  -89.6      1   0.00    240     27  448.4  448.4  448.4
   74.0  18161  -57.2  -89.6      1   0.00    230     17  454.3  454.4  454.3
   73.0  18247  -57.1  -89.6      1   0.00    240     14  456.4  456.4  456.4
   70.0  18510  -56.7  -89.7      1   0.00    245     19  462.7  462.8  462.7
   67.0  18789  -56.4  -89.9      1   0.00    265     17  469.2  469.2  469.2
   62.0  19283  -55.8  -90.3      1   0.00    260     19  481.0  481.0  481.0
   60.0  19491  -55.6  -90.4      1   0.00    245     14  486.0  486.0  486.0
