#
#16080 LIML Milano Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
 1004.0    103   14.4   10.3     76   7.89    340      1  287.2  309.5  288.6
 1000.0    135   15.0    9.0     67   7.25    335      1  288.1  308.8  289.4
  995.0    178   16.4    9.4     63   7.49    325      2  290.0  311.4  291.3
  957.0    508   13.8    9.0     73   7.58    250      9  290.6  312.3  291.9
  952.0    552   14.2    8.4     68   7.32    240     10  291.4  312.5  292.6
  940.0    660   15.0    7.0     59   6.73    247      9  293.3  312.9  294.5
  925.0    796   14.0    6.0     59   6.38    255      8  293.6  312.3  294.8
  850.0   1502    8.4   -1.6     49   4.02    350      8  294.9  307.0  295.6
  831.0   1688    7.4   -3.6     46   3.54    347      9  295.8  306.6  296.4
  777.0   2232    3.3   -3.7     60   3.77    340     10  297.1  308.6  297.8
  760.0   2410    2.0   -3.7     66   3.84    335     11  297.6  309.3  298.3
  743.0   2593    0.6   -3.7     73   3.92    305     11  298.0  310.0  298.7
  710.0   2961   -2.2   -3.8     89   4.09    300     14  298.9  311.3  299.6
  706.0   3006   -2.5   -3.8     91   4.11    306     14  299.0  311.5  299.7
  700.0   3074   -2.3   -6.4     73   3.40    315     14  299.9  310.4  300.5
  693.0   3154   -2.1  -14.1     39   1.86    325     13  301.0  307.0  301.3
  689.0   3200   -2.0  -17.2     30   1.45    330     13  301.6  306.3  301.8
  679.0   3317   -1.9  -24.9     15   0.75    319     14  303.0  305.6  303.1
  675.0   3364   -1.8  -23.6     17   0.85    315     14  303.6  306.5  303.7
  669.0   3435   -1.7  -21.7     20   1.01    320     14  304.5  307.9  304.7
  656.0   3588   -2.8  -22.2     21   0.99    330     13  305.0  308.4  305.2
  534.0   5188  -13.9  -27.4     31   0.76    300     24  310.2  312.8  310.3
  524.0   5335  -14.9  -27.9     32   0.74    306     23  310.6  313.2  310.8
  513.0   5496  -15.9  -35.9     16   0.35    312     23  311.3  312.6  311.4
  500.0   5690  -15.5  -45.5      6   0.13    320     22  314.1  314.6  314.1
  499.0   5705  -15.3  -44.3      6   0.15    321     22  314.5  315.1  314.5
  491.0   5824  -16.3  -44.0      7   0.16    325     25  314.8  315.4  314.8
  406.0   7221  -27.6  -40.8     27   0.27    295     26  317.7  318.7  317.7
  400.0   7330  -28.5  -40.5     31   0.28    295     26  317.9  318.9  317.9
  367.0   7940  -33.7  -41.7     44   0.27    297     30  318.9  319.9  318.9
  344.0   8390  -37.5  -47.5     34   0.15    298     32  319.6  320.3  319.7
  300.0   9320  -44.3  -55.3     28   0.07    300     38  322.8  323.1  322.8
  283.0   9710  -47.5  -61.5     18   0.03    302     38  323.6  323.8  323.6
