#
#16144  S Pietro Capofiume Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
 1015.0     11   11.2   11.2    100   8.29      0      0  283.1  306.1  284.6
 1013.0     28   14.0   10.0     77   7.66    338      0  286.1  307.6  287.4
 1000.0    139   17.2    9.2     59   7.35    195      2  290.4  311.5  291.6
  999.0    148   17.2    9.2     59   7.36    197      2  290.4  311.6  291.7
  984.0    277   17.0    9.0     59   7.37    229      2  291.5  312.8  292.8
  925.0    800   13.0    8.0     72   7.32      0      0  292.6  313.8  293.9
  850.0   1505    7.0    4.1     82   6.07    340      9  293.5  311.3  294.5
  845.0   1554    6.8    4.7     86   6.38    340     10  293.8  312.4  294.9
  844.0   1563    6.8    4.5     86   6.30    340     10  293.8  312.3  294.9
  798.0   2023    5.2   -3.8     52   3.63    337      8  296.9  308.0  297.5
  796.0   2044    5.4   -5.6     45   3.18    337      8  297.3  307.1  297.9
  700.0   3079   -2.9   -8.9     63   2.80    330      4  299.2  308.0  299.8
  682.0   3285   -4.7   -8.7     74   2.92    329      6  299.5  308.6  300.0
  669.0   3436   -5.7  -10.7     68   2.54    328      7  300.0  308.0  300.5
  654.0   3615   -3.3  -25.3     16   0.75    327      9  304.7  307.2  304.8
  633.0   3873   -4.1  -29.1     12   0.55    326     11  306.6  308.5  306.7
  623.0   3998   -5.0  -24.8     19   0.82    325     12  307.0  309.9  307.2
  611.0   4151   -6.0  -19.6     33   1.33    340     13  307.5  312.0  307.7
  608.0   4190   -6.3  -18.3     38   1.50    339     13  307.6  312.6  307.9
  503.0   5645  -16.5  -34.5     20   0.41    306     26  312.3  313.8  312.4
  500.0   5690  -16.7  -34.7     19   0.40    305     26  312.6  314.1  312.7
  476.0   6058  -17.9  -44.9      7   0.15    295     21  315.6  316.1  315.6
  459.0   6328  -19.5  -38.5     17   0.30    296     21  316.9  318.0  316.9
  400.0   7330  -28.1  -44.1     20   0.19    300     21  318.4  319.1  318.4
  328.0   8709  -39.8  -50.2     32   0.12    310     26  320.9  321.4  320.9
  312.0   9057  -42.7  -51.7     37   0.10    298     28  321.4  321.9  321.5
  302.0   9275  -44.0  -53.9     33   0.08    290     29  322.6  322.9  322.6
  300.0   9320  -44.3  -54.3     32   0.08    295     31  322.8  323.1  322.8
  250.0  10520  -54.5  -58.5     61   0.06    300     32  324.9  325.2  324.9
  241.0  10754  -54.9  -63.9     32   0.03    301     35  327.7  327.9  327.7
  226.0  11162  -56.9  -62.9     46   0.04    303     40  330.8  330.9  330.8
  212.0  11565  -58.7  -69.7     23   0.02    305     45  334.0  334.1  334.1
  200.0  11930  -58.5  -71.5     17   0.01    300     46  340.0  340.0  340.0
  189.0  12286  -57.3  -79.3      5   0.00    300     47  347.4  347.5  347.4
  188.0  12320  -57.3  -79.4      4   0.00    300     47  348.0  348.1  348.0
  177.0  12701  -56.8  -80.1      4   0.00    310     47  354.9  354.9  354.9
  162.0  13262  -56.1  -81.1      3   0.00    307     49  365.1  365.1  365.1
  152.0  13666  -56.6  -82.4      2   0.00    305     51  371.0  371.0  371.0
  150.0  13750  -56.7  -82.7      2   0.00    305     50  372.2  372.2  372.2
  132.0  14556  -57.1  -84.0      2   0.00    305     28  385.2  385.3  385.2
  120.0  15157  -57.5  -85.0      2   0.00    300     40  395.3  395.3  395.3
  112.0  15593  -57.7  -85.7      2   0.00    296     32  402.7  402.7  402.7
  111.0  15649  -58.0  -85.8      2   0.00    295     31  403.2  403.3  403.2
  103.0  16115  -60.2  -86.7      2   0.00    310     18  407.7  407.7  407.7
  101.0  16238  -60.8  -87.0      2   0.00    295     15  408.8  408.8  408.8
  100.0  16300  -61.1  -87.1      2   0.00    285     17  409.4  409.4  409.4
   94.0  16685  -61.4  -87.4      2   0.00    290     15  416.1  416.1  416.1
   91.0  16887  -61.6  -87.6      2   0.00    315     16  419.6  419.6  419.6
   83.0  17460  -62.1  -88.1      2   0.00    270     23  429.8  429.9  429.8
   79.2  17751  -62.3  -88.3      2   0.00    294     33  435.1  435.1  435.1
   79.0  17767  -62.3  -88.3      2   0.00    295     34  435.5  435.5  435.5
   72.0  18345  -61.2  -88.0      2   0.00    315     28  449.4  449.5  449.4
   70.0  18520  -60.9  -87.9      2   0.00    310     24  453.8  453.8  453.8
   68.0  18701  -60.7  -88.0      2   0.00    305     26  458.0  458.0  458.0
   62.0  19277  -60.0  -88.1      1   0.00    335     21  471.9  471.9  471.9
   61.0  19378  -59.8  -88.2      1   0.00    325     15  474.4  474.4  474.4
   60.0  19481  -59.7  -88.2      1   0.00    290     13  476.9  476.9  476.9
   58.0  19693  -59.4  -88.3      1   0.00    295     12  482.1  482.1  482.1
   57.1  19790  -59.3  -88.3      1   0.00    285     13  484.6  484.6  484.6
   55.0  20024  -59.9  -88.9      1   0.00    260     16  488.3  488.4  488.3
   53.8  20162  -60.3  -89.3      1   0.00    276     15  490.6  490.6  490.6
   51.0  20496  -59.3  -89.0      1   0.00    315     14  500.5  500.5  500.5
   50.0  20620  -58.9  -88.9      1   0.00    295      7  504.2  504.3  504.2
   49.1  20734  -57.1  -88.1      1   0.00    295      4  511.1  511.2  511.1
   49.0  20747  -57.1  -88.1      1   0.00    295      4  511.4  511.4  511.4
   47.0  21009  -57.6  -88.3      1   0.00    325     13  516.3  516.4  516.3
   46.0  21144  -57.9  -88.4      1   0.00    325     10  518.9  518.9  518.9
   42.1  21701  -58.9  -88.9      1   0.00    247     10  529.6  529.7  529.6
   42.0  21716  -58.9  -88.9      1   0.00    245     10  530.1  530.1  530.1
   41.0  21869  -58.5  -88.7      1   0.00    225     16  534.8  534.8  534.8
   35.0  22872  -55.9  -87.5      1   0.01    285     28  566.3  566.4  566.3
   34.0  23056  -55.4  -87.3      1   0.01    300     21  572.3  572.3  572.3
   33.0  23246  -54.9  -87.0      1   0.01    265     13  578.5  578.5  578.5
   32.0  23441  -54.4  -86.8      1   0.01    290     10  584.9  585.0  585.0
   31.0  23642  -53.8  -86.5      1   0.01    270      3  591.7  591.8  591.7
   30.0  23850  -53.3  -86.3      1   0.01    205     20  598.7  598.8  598.7
   29.6  23937  -53.1  -86.1      1   0.01    209     23  601.6  601.7  601.6
   29.0  24069  -53.6  -86.4      1   0.01    215     28  603.8  603.9  603.8
   27.0  24528  -55.2  -87.5      1   0.01    245     25  611.6  611.7  611.6
   26.0  24771  -56.1  -88.1      1   0.01    240     29  615.8  615.8  615.8
   25.0  25024  -55.6  -87.8      1   0.01    260     35  624.1  624.2  624.1
   24.0  25286  -55.1  -87.4      1   0.01    285     32  632.9  632.9  632.9
   23.0  25560  -54.6  -87.1      1   0.01    280     22  642.1  642.2  642.1
   20.0  26460  -52.9  -85.9      1   0.01    280     22  673.5  673.6  673.5
   19.0  26793  -51.3  -85.3      1   0.01    270     18  688.3  688.4  688.3
   18.0  27144  -49.7  -84.7      1   0.02    245     15  704.2  704.4  704.2
   17.3  27403  -50.7  -85.7      1   0.01    242     15  709.0  709.2  709.0
#   17.0                                       240     15                     
