#
#16245 LIRE Pratica Di Mare Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
 1013.0     32   17.4   10.4     63   7.87    100      7  289.5  311.9  290.9
 1000.0    141   18.2    8.2     52   6.86    120     11  291.4  311.2  292.6
  998.0    158   18.2    8.2     52   6.88    126     11  291.5  311.4  292.7
  995.0    184   18.0    8.2     53   6.88    135     12  291.6  311.5  292.8
  956.0    524   15.3    7.5     60   6.86    145     10  292.1  312.0  293.4
  936.0    703   13.8    7.2     64   6.84    175     10  292.4  312.3  293.6
  925.0    804   13.0    7.0     67   6.84    170     11  292.6  312.5  293.8
  921.0    840   12.7    6.7     67   6.74    170     10  292.7  312.3  293.9
  893.0   1099   10.8    4.8     66   6.07    186     11  293.3  311.1  294.4
  868.0   1334    8.7    4.5     75   6.12    200     11  293.5  311.5  294.6
  853.0   1479    7.5    4.3     81   6.15    240     12  293.6  311.7  294.7
  850.0   1508    7.2    4.3     82   6.16    240     12  293.7  311.7  294.8
  836.0   1644    6.0    4.1     87   6.16    235     10  293.8  311.9  294.9
  819.0   1812    4.6    3.8     95   6.17    265     12  294.0  312.1  295.1
  808.0   1923    3.6    3.6    100   6.17    258     12  294.1  312.2  295.2
  803.0   1973    3.2    3.2    100   6.04    255     12  294.3  312.0  295.3
  789.0   2116    2.2    2.1     99   5.68    283     11  294.6  311.4  295.6
  786.0   2146    2.0   -1.3     79   4.45    289     11  294.8  308.1  295.5
  779.0   2219    4.8   -4.2     52   3.61    303     11  298.5  309.6  299.2
  778.0   2229    4.7   -4.1     53   3.64    305     11  298.5  309.7  299.2
  773.0   2281    4.3   -3.7     56   3.78    310     10  298.7  310.2  299.3
  764.0   2376    3.6   -3.0     62   4.05    285      8  298.9  311.3  299.6
  756.0   2461    3.0   -2.3     68   4.30    265     10  299.1  312.2  299.9
  725.0   2800    0.4    0.4    100   5.46    279     14  299.9  316.4  300.9
  702.0   3059    0.4   -2.9     79   4.42    289     18  302.6  316.3  303.5
  700.0   3082    0.2   -3.0     79   4.40    290     18  302.7  316.3  303.5
  697.0   3116   -0.1   -3.1     80   4.39    290     19  302.8  316.4  303.6
  667.0   3468   -2.6   -4.1     90   4.26    280     17  303.7  317.0  304.5
  666.0   3480   -2.7   -4.1     90   4.26    282     17  303.8  317.0  304.5
  654.0   3624   -3.1   -7.1     73   3.44    300     21  304.9  315.8  305.6
  653.0   3636   -3.1   -7.4     72   3.37    300     21  305.0  315.7  305.6
  648.0   3697   -2.3  -15.3     36   1.80    297     22  306.6  312.6  306.9
  640.0   3796   -2.9  -15.9     36   1.74    293     23  307.0  312.8  307.3
  628.0   3945   -4.5   -7.2     81   3.56    287     24  306.8  318.2  307.5
  613.0   4135   -6.3   -7.6     91   3.55    280     26  306.8  318.1  307.5
  607.0   4212   -7.1   -7.7     95   3.55    281     27  306.8  318.1  307.5
  605.0   4238   -7.3   -8.1     94   3.45    282     27  306.9  317.9  307.5
  599.0   4316   -6.7  -19.7     35   1.35    283     28  308.5  313.0  308.7
  591.0   4421   -7.2  -20.2     35   1.31    285     29  309.1  313.6  309.4
  582.0   4541   -7.7  -20.7     34   1.27    288     26  309.9  314.2  310.1
  579.0   4581   -7.5  -26.5     20   0.76    289     25  310.5  313.2  310.7
  565.0   4771   -7.9  -35.9      9   0.32    294     20  312.2  313.4  312.3
  547.0   5022   -9.4  -36.2      9   0.32    300     13  313.4  314.6  313.4
  534.0   5208  -10.5  -36.5     10   0.32    320     15  314.2  315.4  314.3
  531.0   5251  -10.9  -36.5     10   0.32    325     15  314.3  315.5  314.4
  500.0   5710  -14.7  -36.7     14   0.33    310     22  315.1  316.3  315.1
  489.0   5874  -16.0  -38.2     13   0.29    300     25  315.5  316.6  315.6
  421.0   6981  -24.5  -48.5      9   0.11    296     34  318.4  318.8  318.4
  400.0   7350  -27.3  -44.3     18   0.19    295     37  319.4  320.2  319.5
  352.0   8260  -34.9  -45.9     32   0.18    295     39  321.1  321.8  321.1
  328.0   8751  -38.7  -45.7     48   0.20    295     40  322.4  323.2  322.4
  300.0   9360  -43.1  -53.1     32   0.09    295     41  324.5  324.9  324.5
#  280.0   9821  -46.3  -58.3     24   0.05                326.4  326.6  326.4
