#16320 LIBR Brindisi Observations at 00Z 09 Oct 2017
#
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
 1018.0     10   13.2    8.6     74   6.93    165      2  284.9  304.4  286.1
 1017.0     18   13.4    8.9     74   7.08    164      2  285.2  305.1  286.4
 1011.0     69   17.2    8.2     55   6.79    155      3  289.4  308.9  290.6
 1000.0    164   16.6    7.6     55   6.59    140      4  289.8  308.7  290.9
  991.0    241   16.0    8.0     59   6.83    156      4  289.9  309.5  291.1
  974.0    388   16.4   -7.6     19   2.23    186      5  291.7  298.6  292.1
  973.0    397   16.4   -6.6     20   2.41    187      5  291.8  299.2  292.2
  959.0    520   14.8    5.8     55   6.06    212      6  291.4  309.1  292.5
  939.0    698   13.4    6.4     63   6.46    249      7  291.8  310.5  292.9
  925.0    824   12.2    6.2     67   6.47    275      8  291.8  310.6  292.9
  913.0    933   11.1    6.9     75   6.88    250     10  291.8  311.7  293.0
  904.0   1016   10.3    7.4     82   7.21    270     10  291.7  312.6  293.0
  903.0   1025   10.2    7.5     83   7.25    270     10  291.7  312.7  293.0
  878.0   1258    8.4    4.8     78   6.16    265     14  292.2  310.2  293.3
  862.0   1410    7.3    3.0     74   5.53    295     13  292.6  308.8  293.6
  850.0   1526    6.4    1.6     71   5.08    300     12  292.8  307.8  293.7
  843.0   1594    5.9    1.0     71   4.91    300     11  293.0  307.5  293.9
  832.0   1701    5.1    0.1     70   4.65    325     11  293.2  307.0  294.1
  831.0   1711    5.0    0.0     70   4.63    324     11  293.3  307.0  294.1
  820.0   1819    4.4   -1.5     65   4.20    315     12  293.8  306.3  294.5
  788.0   2142    2.7   -5.9     53   3.13    345     19  295.3  304.9  295.8
  772.0   2308    1.8   -8.2     47   2.68    333     18  296.1  304.3  296.5
  736.0   2691   -0.9  -10.9     47   2.27    306     17  297.2  304.3  297.6
  729.0   2767   -1.2  -15.1     34   1.63    300     17  297.7  302.9  298.0
  720.0   2866   -1.5  -20.5     22   1.05    298     17  298.4  301.8  298.6
  709.0   2989   -0.3  -27.3     11   0.58    297     18  301.0  303.0  301.1
  706.0   3023   -0.1  -26.1     12   0.65    296     18  301.6  303.8  301.7
  700.0   3091   -0.3  -25.3     13   0.70    295     18  302.1  304.5  302.2
  683.0   3287   -0.9  -22.9     17   0.89    298     20  303.6  306.6  303.8
  674.0   3393   -1.9  -11.9     46   2.29    300     21  303.6  311.0  304.0
  657.0   3596   -3.1  -20.1     26   1.19    303     22  304.5  308.5  304.7
  651.0   3668   -3.3  -12.3     50   2.30    304     23  305.1  312.5  305.5
  648.0   3705   -3.7  -10.7     58   2.62    305     23  305.0  313.4  305.5
  631.0   3914   -5.5   -9.9     71   2.87    309     25  305.3  314.5  305.8
  624.0   4001   -6.3  -10.6     72   2.75    310     26  305.3  314.1  305.8
  577.0   4608  -12.1  -15.2     78   2.04    299     32  305.5  312.1  305.8
  561.0   4823  -12.8  -23.8     39   1.00    295     34  307.1  310.5  307.3
  555.0   4905  -13.1  -27.1     30   0.75    297     34  307.7  310.3  307.8
  546.0   5030  -11.1  -41.1      6   0.19    300     33  311.5  312.2  311.6
  513.0   5505  -14.1  -40.5      9   0.22    310     30  313.5  314.3  313.6
  500.0   5700  -15.3  -40.3     10   0.23    305     32  314.3  315.2  314.4
  492.0   5821  -15.5  -42.5      8   0.18    304     33  315.5  316.2  315.6
  414.0   7088  -26.0  -48.0     11   0.12    290     41  318.0  318.4  318.0
  400.0   7340  -28.1  -49.1     12   0.11    290     39  318.4  318.8  318.4
  369.0   7914  -32.3  -57.3      6   0.04    291     43  320.2  320.4  320.2
  345.0   8385  -36.1  -44.1     44   0.22    293     46  321.3  322.2  321.3
  331.0   8671  -38.3  -48.3     34   0.15    293     48  322.1  322.7  322.1
  322.0   8861  -39.9  -45.9     53   0.20    294     49  322.4  323.2  322.5
  308.0   9162  -42.7  -49.7     46   0.13    295     51  322.6  323.2  322.7
  306.0   9206  -42.9  -60.9     12   0.03    295     51  322.9  323.1  323.0
  302.0   9295  -42.9  -60.9     12   0.03    295     52  324.2  324.3  324.2
  300.0   9340  -43.3  -58.3     18   0.05    295     52  324.2  324.4  324.2
  286.0   9661  -45.5  -52.5     45   0.10    296     53  325.5  326.0  325.6
  282.0   9756  -45.9  -62.9     13   0.03    297     54  326.3  326.4  326.3
  264.0  10193  -49.3  -60.3     26   0.04    299     55  327.5  327.7  327.5
  255.0  10420  -50.3  -62.0     24   0.04    300     56  329.3  329.4  329.3
  250.0  10550  -50.9  -62.9     23   0.03    295     57  330.3  330.4  330.3
  230.0  11089  -53.7  -63.7     28   0.03    292     62  334.0  334.1  334.0
  216.0  11489  -55.8  -67.5     22   0.02    290     65  336.8  336.9  336.8
  214.0  11549  -56.1  -68.1     21   0.02    290     65  337.2  337.3  337.2
  200.0  11980  -54.3  -74.3      7   0.01    295     57  346.6  346.7  346.6
  174.0  12866  -55.8  -78.2      4   0.01    285     54  358.3  358.3  358.3
