#
#16429 LICT Trapani Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
 1019.0     14   16.2   11.2     72   8.26    180      5  287.8  311.1  289.2
 1009.0     91   19.2   12.2     64   8.92    205      8  291.6  317.2  293.2
 1001.0    154   18.7   12.6     68   9.21    225     11  291.7  318.1  293.4
 1000.0    162   18.6   12.6     68   9.24    225     11  291.8  318.2  293.4
  992.0    231   18.2   12.2     68   9.07    230     11  292.0  318.1  293.6
  974.0    387   16.7   11.9     73   9.07    240     11  292.1  318.1  293.7
  948.0    617   14.6   11.5     82   9.06    230     13  292.1  318.1  293.7
  936.0    725   13.6   11.3     86   9.05    255     12  292.2  318.1  293.8
  925.0    826   12.6   11.1     91   9.05    260     15  292.2  318.2  293.8
  887.0   1177    9.8    9.8    100   8.64    277     18  292.8  317.7  294.3
  860.0   1433    7.8    7.5     98   7.60    290     20  293.3  315.4  294.6
  850.0   1530    7.0    6.6     97   7.24    290     20  293.5  314.5  294.8
  834.0   1686    5.4    4.0     91   6.15    290     19  293.4  311.4  294.5
  809.0   1935    4.4    3.5     94   6.12    290     19  294.9  312.9  296.0
  805.0   1975    4.4    2.2     86   5.60    290     18  295.3  311.9  296.3
  793.0   2098    4.9   -3.5     54   3.73    290     18  297.1  308.4  297.8
  790.0   2129    5.0   -5.0     48   3.35    293     18  297.5  307.8  298.1
  783.0   2201    7.4  -26.6      7   0.56    301     18  300.9  302.8  301.0
  779.0   2244    7.6  -33.1      4   0.30    305     18  301.5  302.6  301.6
  774.0   2297    7.8  -41.2      2   0.13    305     18  302.3  302.8  302.3
  765.0   2393    8.0  -41.0      2   0.14    305     18  303.5  304.0  303.5
  743.0   2633    7.6  -33.4      4   0.31    305     18  305.6  306.8  305.7
  734.0   2732    6.9  -31.9      4   0.36    305     18  305.9  307.2  306.0
  713.0   2970    5.2  -28.1      7   0.53    290     12  306.6  308.5  306.8
  700.0   3120    4.2  -25.8      9   0.67    285     15  307.1  309.5  307.2
  684.0   3305    2.8  -24.3     12   0.79    295     16  307.5  310.3  307.7
  635.0   3900   -1.9  -19.6     25   1.29    270     19  308.8  313.2  309.1
  617.0   4130   -3.7  -17.7     33   1.55    281     20  309.3  314.5  309.6
  581.0   4601   -5.7  -30.1     13   0.54    305     21  312.4  314.4  312.5
  566.0   4806   -6.5  -35.5      8   0.33    302     22  313.7  315.0  313.8
  528.0   5344  -11.1  -23.1     36   1.13    292     23  314.5  318.5  314.7
  504.0   5699  -12.3  -37.3     10   0.31    286     24  317.3  318.4  317.3
  500.0   5760  -12.7  -36.7     11   0.33    285     24  317.5  318.8  317.6
  496.0   5821  -13.1  -37.0     11   0.32    285     24  317.7  318.9  317.8
  460.0   6391  -16.9  -40.2     11   0.25    295     31  319.8  320.8  319.9
  448.0   6592  -18.3  -41.3     11   0.23    288     32  320.6  321.5  320.6
  444.0   6658  -18.8  -41.5     12   0.23    285     32  320.8  321.7  320.8
  400.0   7430  -24.5  -43.5     15   0.20    285     31  323.1  323.9  323.1
  381.0   7781  -27.3  -39.3     31   0.33    285     32  323.9  325.2  324.0
  341.0   8568  -33.1  -51.1     15   0.10    285     35  326.4  326.9  326.5
  300.0   9450  -41.1  -51.1     33   0.12    285     38  327.3  327.8  327.4
  295.0   9564  -42.3  -52.3     33   0.10    285     39  327.2  327.6  327.2
  268.0  10210  -46.7  -55.7     35   0.08    282     43  329.9  330.2  329.9
  265.0  10284  -46.9  -61.9     16   0.03    282     43  330.7  330.8  330.7
  252.0  10618  -48.9  -62.9     18   0.03    280     46  332.5  332.6  332.5
  250.0  10670  -49.5  -61.5     23   0.04    280     46  332.3  332.5  332.4
  247.0  10749  -50.3  -56.3     49   0.08    280     46  332.3  332.6  332.3
  245.0  10802  -50.9  -62.9     23   0.03    280     46  332.2  332.3  332.2
  236.0  11044  -52.7  -61.7     33   0.04    280     47  333.0  333.2  333.0
  200.0  12100  -57.5  -73.5     11   0.01    280     48  341.6  341.6  341.6
  190.0  12421  -58.8  -74.4     12   0.01    280     44  344.6  344.6  344.6
  185.0  12588  -59.4  -74.8     12   0.01    275     48  346.2  346.2  346.2
  174.0  12972  -60.9  -75.9     12   0.01    285     59  349.8  349.9  349.8
  163.0  13380  -58.5  -80.3      5   0.00    285     61  360.4  360.4  360.4
  161.0  13457  -58.1  -81.1      4   0.00    287     59  362.4  362.4  362.4
  153.0  13776  -59.7  -82.0      4   0.00    295     53  365.0  365.0  365.0
  150.0  13900  -60.3  -82.3      4   0.00    285     51  366.0  366.0  366.0
  133.0  14642  -62.7  -83.8      4   0.00    270     53  374.5  374.5  374.5
  117.0  15433  -65.3  -85.3      5   0.00    275     44  383.7  383.7  383.7
  110.0  15809  -65.5  -85.8      4   0.00    270     51  390.2  390.2  390.2
  100.0  16390  -65.7  -86.7      4   0.00    290     47  400.5  400.5  400.5
