#
#16622 LGTS Thessaloniki (Airport) Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
# 1016.0      4   15.0    5.0     51   5.41    310      6  286.9  302.4  287.8
 1000.0    142   14.4    5.4     55   5.65    330     10  287.6  303.8  288.5
  988.0    244   14.0    4.0     51   5.17    350     14  288.2  303.1  289.1
  936.0    698   12.4   -2.5     35   3.42    345     27  291.0  301.3  291.6
  935.0    707   12.4   -2.6     35   3.39    345     27  291.1  301.2  291.7
  925.0    797   11.8   -2.2     38   3.53    340     26  291.4  301.9  292.0
  896.0   1062   10.0   -5.7     33   2.81    325     23  292.2  300.7  292.6
  890.0   1118    9.6   -6.4     32   2.67    326     23  292.3  300.5  292.8
  850.0   1497    6.0   -7.0     39   2.67    335     25  292.4  300.6  292.9
  840.0   1593    5.2   -6.9     41   2.73    335     27  292.6  300.9  293.0
  778.0   2214   -0.1   -6.1     64   3.13    331     24  293.4  302.8  293.9
  757.0   2433   -1.5   -9.8     53   2.41    330     23  294.1  301.6  294.6
  751.0   2496   -1.9  -10.9     50   2.23    323     21  294.4  301.3  294.8
  744.0   2571   -1.5  -10.5     50   2.32    315     19  295.6  302.8  296.0
  740.0   2614   -1.3  -10.3     50   2.37    310     20  296.3  303.7  296.7
  732.0   2700   -1.8   -9.3     56   2.59    300     23  296.7  304.7  297.1
  710.0   2943   -3.1   -6.6     77   3.30    300     28  297.8  308.0  298.4
  700.0   3055   -3.1   -7.4     72   3.15    300     30  299.0  308.8  299.6
  672.0   3377   -4.1  -10.1     63   2.65    295     36  301.4  309.8  301.9
  640.0   3761   -5.2  -13.3     53   2.15    290     32  304.4  311.3  304.8
  627.0   3922   -5.7  -14.7     49   1.96    292     33  305.6  312.0  306.0
  577.0   4558  -10.8  -17.5     58   1.69    300     35  307.0  312.6  307.3
  515.0   5426  -17.7  -21.3     74   1.37    285     26  308.7  313.3  309.0
  507.0   5546  -18.7  -21.8     77   1.33    288     27  308.9  313.4  309.2
  503.0   5605  -17.3  -30.3     31   0.62    289     27  311.4  313.6  311.5
  500.0   5650  -16.9  -33.9     21   0.44    290     27  312.4  314.0  312.5
  497.0   5695  -16.9  -36.9     16   0.33    293     28  312.9  314.1  313.0
  495.0   5726  -17.1  -37.4     15   0.31    295     28  313.1  314.3  313.1
  463.0   6227  -19.5  -45.5      8   0.14    293     34  316.1  316.6  316.1
  400.0   7300  -28.3  -49.3     12   0.11    290     46  318.1  318.6  318.1
  370.0   7852  -33.5  -50.5     16   0.10    290     50  318.4  318.8  318.4
  339.0   8460  -37.9  -57.9     10   0.05    290     54  320.4  320.6  320.5
  305.0   9179  -43.2  -52.8     34   0.09    290     59  322.9  323.3  322.9
  303.0   9223  -43.5  -52.5     36   0.10    292     59  323.0  323.4  323.0
  300.0   9290  -43.9  -53.9     32   0.08    295     58  323.4  323.7  323.4
  250.0  10490  -51.3  -64.3     20   0.03    290     56  329.7  329.8  329.7
  233.0  10946  -53.3  -67.3     17   0.02    285     48  333.3  333.4  333.3
  222.0  11257  -53.2  -70.4     11   0.01    280     51  338.1  338.1  338.1
  214.0  11494  -53.2  -72.8      7   0.01    290     49  341.7  341.8  341.7
  200.0  11930  -53.1  -77.1      4   0.01    285     51  348.5  348.6  348.5
  198.0  11995  -52.9  -77.9      3   0.00    284     51  349.8  349.9  349.8
  186.0  12392  -54.1  -79.3      3   0.00    280     50  354.2  354.3  354.2
  155.0  13552  -57.5  -83.4      2   0.00    290     51  367.4  367.4  367.4
  150.0  13760  -58.1  -84.1      2   0.00    290     45  369.8  369.8  369.8
  145.0  13974  -59.0  -85.0      2   0.00    280     37  371.9  371.9  371.9
  143.0  14062  -59.3  -85.3      2   0.00    280     39  372.8  372.8  372.8
  134.0  14470  -59.4  -85.9      2   0.00    270     48  379.6  379.6  379.6
  106.0  15944  -59.6  -88.2      1   0.00    275     48  405.4  405.4  405.4
  100.0  16310  -59.7  -88.7      1   0.00    285     35  412.1  412.1  412.1
   98.0  16436  -59.8  -88.9      1   0.00    280     36  414.3  414.3  414.3
   95.0  16631  -59.9  -89.1      1   0.00    305     28  417.7  417.8  417.7
   84.0  17400  -60.5  -90.1      1   0.00    270     24  431.6  431.6  431.6
   76.5  17984  -60.9  -90.9      1   0.00    256     32  442.4  442.4  442.4
   76.0  18025  -60.8  -90.8      1   0.00    255     33  443.5  443.5  443.5
   70.0  18540  -58.9  -89.9      1   0.00    265     38  458.0  458.0  458.0
   66.1  18901  -56.3  -88.3      1   0.00    259     34  471.2  471.3  471.2
   61.0  19407  -57.6  -89.0      1   0.00    250     28  479.2  479.2  479.2
   58.0  19724  -58.5  -89.5      1   0.00    230     22  484.3  484.3  484.3
   57.9  19735  -58.5  -89.5      1   0.00    230     22  484.4  484.5  484.4
   55.0  20059  -57.7  -89.0      1   0.00    245     30  493.5  493.6  493.5
   52.0  20413  -56.7  -88.5      1   0.00    280     24  503.6  503.7  503.6
   50.0  20660  -56.1  -88.1      1   0.00    270     14  510.8  510.9  510.8
   49.2  20763  -55.5  -87.5      1   0.00    258     16  514.6  514.6  514.6
   49.0  20789  -55.6  -87.6      1   0.00    255     16  514.9  514.9  514.9
#   48.6  20841  -55.9  -87.9      1   0.00                515.5  515.5  515.5
