#
#16754 LGIR Heraklion (Airport) Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
 1010.0     39   18.2   14.1     77  10.11    170      3  290.5  319.2  292.3
 1009.0     48   15.8   10.8     72   8.12    183      3  288.2  311.2  289.6
 1006.0     74   17.2   10.2     63   7.82    222      4  289.9  312.2  291.2
 1000.0    126   17.4   10.4     63   7.97    300      5  290.6  313.4  291.9
  995.0    169   17.6   10.6     64   8.12    303      5  291.2  314.5  292.6
  926.0    779   12.3    8.4     77   7.54    340     10  291.8  313.5  293.1
  925.0    788   12.2    8.4     78   7.53    340     10  291.8  313.5  293.1
  867.0   1326    7.0    5.7     91   6.66    340     13  291.8  311.1  293.0
  855.0   1441    6.9    2.2     72   5.29    340     14  292.8  308.4  293.8
  850.0   1489    6.8    0.8     66   4.79    340     15  293.3  307.5  294.1
  819.0   1793    5.2   -7.2     40   2.73      0     21  294.6  303.0  295.1
  816.0   1823    5.0   -8.0     38   2.58    356     21  294.8  302.7  295.2
  813.0   1853    4.6   -6.4     45   2.93    352     21  294.7  303.6  295.2
  804.0   1944    4.2  -11.8     30   1.94    340     22  295.2  301.3  295.5
  793.0   2056    6.4  -42.6      2   0.11    325     23  298.7  299.1  298.7
  789.0   2097    6.4  -42.0      2   0.12    320     23  299.1  299.6  299.1
  751.0   2501    6.1  -36.1      3   0.23    325     27  303.0  303.9  303.1
  721.0   2834    5.8  -31.2      5   0.39    313     30  306.3  307.7  306.4
  700.0   3075    4.2  -23.8     11   0.80    305     33  307.1  309.9  307.2
  691.0   3179    3.6  -23.9     11   0.80    310     34  307.6  310.4  307.8
  630.0   3924   -0.3  -25.0     13   0.80    295     26  311.4  314.2  311.5
  617.0   4091   -1.2  -25.3     14   0.80    285     29  312.2  315.1  312.4
  615.0   4118   -1.3  -25.3     14   0.80    285     29  312.4  315.2  312.5
  566.0   4773   -6.7  -21.7     29   1.20    290     34  313.5  317.7  313.7
  520.0   5427  -11.2  -26.9     26   0.82    295     38  315.8  318.7  315.9
  500.0   5730  -13.3  -29.3     25   0.68    295     43  316.8  319.2  316.9
  445.0   6605  -20.5  -32.5     33   0.56    292     47  318.4  320.5  318.5
  436.0   6756  -19.7  -63.7      1   0.02    292     48  321.3  321.4  321.3
  400.0   7390  -24.1  -66.1      1   0.01    290     51  323.6  323.6  323.6
  300.0   9420  -39.3  -58.3     12   0.05    285     66  329.9  330.1  329.9
  289.0   9674  -40.9  -60.6     10   0.04    285     68  331.1  331.3  331.1
  285.0   9768  -41.5  -61.5     10   0.03    285     68  331.6  331.7  331.6
  259.0  10407  -47.1  -63.1     14   0.03    285     66  332.5  332.7  332.5
  250.0  10640  -48.5  -64.5     14   0.03    285     66  333.8  333.9  333.8
  220.0  11474  -53.3  -69.3     13   0.02    290     71  338.9  338.9  338.9
  217.0  11563  -53.0  -70.3     10   0.01    290     70  340.6  340.6  340.6
  211.0  11744  -52.5  -72.5      7   0.01    285     69  344.2  344.2  344.2
  200.0  12090  -53.3  -76.3      4   0.01    275     68  348.2  348.2  348.2
  194.0  12284  -53.7  -78.0      4   0.00    275     72  350.6  350.6  350.6
  170.0  13127  -55.5  -85.3      1   0.00    285     64  361.0  361.0  361.0
  161.0  13474  -56.3  -88.3      1   0.00    275     59  365.4  365.4  365.4
  152.0  13837  -58.6  -87.3      1   0.00    265     54  367.6  367.6  367.6
  150.0  13920  -59.1  -87.1      2   0.00    265     55  368.1  368.1  368.1
  127.0  14944  -65.1  -87.1      3   0.00    265     63  375.2  375.2  375.2
  124.0  15091  -64.0  -88.4      2   0.00    270     71  379.6  379.6  379.6
  117.0  15446  -61.5  -91.5      1   0.00    273     58  390.7  390.7  390.7
  113.0  15660  -62.0  -92.0      1   0.00    275     50  393.7  393.7  393.7
  100.0  16410  -63.7  -93.7      1   0.00    270     45  404.4  404.4  404.4
