#
#26038 ULTT Tallinn Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
  998.0     34    6.8    6.4     97   6.07    135      6  280.1  296.9  281.1
  984.0    150    7.0    6.7     98   6.29    141     12  281.4  298.9  282.5
  965.0    310    6.2    5.2     93   5.78    150     19  282.2  298.4  283.2
  925.0    656    4.6    2.0     83   4.80    165     16  284.0  297.7  284.8
  924.0    665    4.6    1.6     81   4.67    165     16  284.1  297.4  284.9
  873.0   1125    1.2   -1.1     85   4.06    158     20  285.2  296.9  285.9
  856.0   1283    0.4   -1.6     86   3.99    156     21  286.0  297.5  286.7
  850.0   1340    0.4   -3.1     77   3.60    155     21  286.6  297.1  287.2
  831.0   1521   -0.3   -7.3     59   2.67    155     20  287.7  295.6  288.1
  814.0   1686   -1.3  -15.3     34   1.44    155     19  288.3  292.8  288.6
  784.0   1983   -3.3  -19.5     27   1.05    155     17  289.3  292.6  289.5
  760.0   2229   -4.9  -22.9     23   0.80    152     21  290.1  292.7  290.3
  746.0   2375   -6.1  -16.1     45   1.47    151     23  290.4  295.0  290.6
  730.0   2544   -6.9  -16.9     45   1.40    149     25  291.3  295.7  291.6
  715.0   2706   -7.9  -24.9     24   0.71    147     27  291.9  294.3  292.1
  702.0   2848   -8.7  -23.7     29   0.81    145     29  292.6  295.2  292.7
  700.0   2870   -8.9  -21.9     34   0.95    145     29  292.6  295.7  292.8
  683.0   3060   -9.9  -14.9     67   1.77    145     31  293.6  299.1  293.9
  664.0   3278  -10.7  -26.7     26   0.65    145     33  295.0  297.2  295.1
  641.0   3548  -12.5  -26.5     30   0.69    145     36  296.0  298.3  296.1
  615.0   3863  -15.1  -17.6     81   1.57    145     39  296.5  301.5  296.8
  594.0   4126  -16.1  -31.1     26   0.48    145     42  298.3  300.0  298.4
  577.0   4344  -17.9  -18.4     96   1.56    145     44  298.7  303.7  299.0
  572.0   4408  -18.4  -18.9     96   1.51    145     45  298.8  303.7  299.1
  530.0   4974  -22.7  -23.4     94   1.10    148     41  300.3  303.9  300.5
  500.0   5400  -25.1  -41.1     21   0.21    150     39  302.4  303.1  302.4
  451.0   6144  -28.7  -40.7     31   0.24    154     39  306.9  307.8  306.9
  442.0   6287  -30.0  -42.3     29   0.21    155     39  307.1  307.9  307.1
  426.0   6549  -32.3  -45.3     26   0.16    159     41  307.4  307.9  307.4
  414.0   6750  -33.7  -36.1     79   0.43    162     43  308.1  309.6  308.1
  400.0   6990  -35.5  -37.3     83   0.39    165     45  308.8  310.2  308.8
  380.0   7344  -38.3  -40.4     81   0.30    169     49  309.6  310.7  309.7
  366.0   7600  -40.1  -51.1     30   0.10    172     52  310.6  310.9  310.6
  305.0   8819  -47.6  -61.4     19   0.03    185     66  316.6  316.8  316.6
  300.0   8930  -48.3  -62.3     18   0.03    190     64  317.2  317.3  317.2
  255.0   9992  -52.7  -65.7     19   0.02    185     49  325.7  325.8  325.7
  250.0  10120  -51.5  -66.5     15   0.02    185     47  329.4  329.5  329.4
  233.0  10576  -51.7  -72.7      6   0.01    190     37  335.8  335.8  335.8
  218.0  11009  -50.8  -75.3      4   0.01    195     27  343.6  343.6  343.6
  200.0  11570  -49.7  -78.7      2   0.00    185     29  353.9  353.9  353.9
  176.0  12407  -48.9  -81.9      1   0.00    194     25  368.4  368.4  368.4
  150.0  13450  -51.1  -83.1      1   0.00    205     19  381.8  381.8  381.8
  140.0  13896  -51.4  -83.4      1   0.00    195     17  388.9  388.9  388.9
