#
#26063 ULLI St.Petersburg(Voejkovo) Observations at 00Z 09 Oct 2017
#-----------------------------------------------------------------------------
#   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#-----------------------------------------------------------------------------
 1002.0     78    6.8    5.2     90   5.56    100      4  279.8  295.2  280.7
 1000.0     95    6.8    5.2     90   5.57    100      4  279.9  295.4  280.9
  978.0    277    6.5    4.5     87   5.43    125     16  281.4  296.6  282.3
  954.0    481    6.1    3.8     85   5.28    170     21  283.1  297.9  284.0
  946.0    550    6.0    3.5     84   5.23    173     21  283.6  298.4  284.5
  936.0    637    4.2    1.1     80   4.45    178     20  282.6  295.3  283.4
  931.0    680    4.2    1.1     80   4.47    180     19  283.1  295.8  283.8
  925.0    733    4.2    1.1     80   4.50    180     19  283.6  296.4  284.4
  860.0   1322    0.6   -1.5     86   4.01    155     25  285.8  297.4  286.5
  850.0   1416    0.0   -1.9     87   3.93    155     25  286.1  297.5  286.8
  796.0   1936   -2.9   -4.7     87   3.39    170     17  288.5  298.5  289.1
  733.0   2589   -6.5   -8.3     87   2.80    155     17  291.4  299.9  291.9
  723.0   2697   -7.1   -8.9     87   2.71    159     19  291.9  300.1  292.4
  700.0   2950   -7.1   -8.8     88   2.82    170     21  294.6  303.2  295.1
  675.0   3233   -7.7   -9.2     89   2.84    179     20  297.0  305.8  297.5
  658.0   3429   -8.6  -10.1     89   2.70    185     19  298.2  306.6  298.6
  592.0   4243  -12.3  -14.0     87   2.20    191     23  303.0  310.1  303.4
  500.0   5510  -20.9  -23.1     82   1.20    200     29  307.5  311.6  307.7
  481.0   5795  -22.5  -24.7     82   1.08    200     29  308.9  312.6  309.1
  476.0   5871  -24.5  -26.8     81   0.90    200     29  307.4  310.5  307.6
  463.0   6072  -25.4  -27.7     81   0.85    200     29  308.7  311.6  308.9
  435.0   6523  -27.5  -29.7     81   0.75    204     37  311.6  314.3  311.8
  400.0   7120  -31.9  -34.2     80   0.53    210     47  313.4  315.4  313.6
  392.0   7262  -33.3  -35.7     79   0.47    210     48  313.4  315.1  313.5
  380.0   7481  -33.5  -35.8     80   0.48    211     51  316.0  317.7  316.1
  377.0   7536  -35.5  -38.0     78   0.39    211     52  314.0  315.5  314.1
  300.0   9090  -46.3  -48.7     76   0.15    215     72  320.0  320.6  320.0
  284.0   9449  -49.8  -52.5     73   0.10    220     76  320.0  320.4  320.0
  282.0   9496  -50.3  -53.0     73   0.10    219     77  319.9  320.4  320.0
  269.0   9802  -51.1  -53.7     74   0.10    215     83  323.1  323.5  323.1
  268.0   9826  -52.5  -54.8     76   0.08    215     84  321.4  321.8  321.4
  265.0   9898  -53.0  -55.4     75   0.08    215     84  321.7  322.0  321.7
  250.0  10270  -55.9  -58.6     72   0.06    220     82  322.8  323.1  322.8
  214.0  11248  -61.9  -64.5     71   0.03    215     66  328.2  328.3  328.2
  200.0  11670  -59.5  -62.3     70   0.04    220     52  338.4  338.6  338.4
  176.0  12478  -53.9  -56.9     69   0.10    228     38  360.2  360.6  360.2
  169.0  12738  -54.1  -57.2     68   0.10    230     33  364.0  364.5  364.1
  158.0  13168  -54.4  -57.8     66   0.10    220     33  370.5  371.0  370.6
  150.0  13500  -54.7  -58.2     65   0.10    225     31  375.6  376.1  375.6
  117.0  15081  -55.6  -59.7     60   0.11    240     29  401.7  402.2  401.7
  103.0  15892  -56.0  -60.4     57   0.11    225     19  415.7  416.3  415.8
  100.0  16080  -56.1  -60.6     57   0.11    230     19  419.1  419.7  419.1
